# Name of benchmark/experiment: Experiment 2
# Describe how ice line latitude is determined: where temperature falls below freezing in annual average
# Note that Tglob = 450. means the case is in runaway greenhouse: ESTM output is not reliable

# Columns of data
# Case = case number (total: 289)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
# IceLineNMin = latitude of southern edge of ice in northern hemisphere (deg)
# IceLineSMax = latitude of northern edge of ice in southern hemisphere (deg)
# IceLineSMin = latitude of southern edge of ice in southern hemisphere (deg)
# Diff = average diffusion coefficient (W m^-2 K^-1)
# OLR = global, annual mean outgoing longwave radiation

# Case Inst Obl XCO2 Tglob IceLineNMax IceLineNMin IceLineSMax IceLineSMin Diff OLR
88 1.1250 15.0 280 238.15 90.0 0.0 0.0 -90.0 0.5000 156.86
89 1.1250 20.0 280 238.22 90.0 0.0 0.0 -90.0 0.5000 157.10
90 1.1250 25.0 280 238.32 90.0 0.0 0.0 -90.0 0.5000 157.46
91 1.1250 30.0 280 238.47 90.0 0.0 0.0 -90.0 0.5000 157.96
92 1.1250 35.0 280 238.78 90.0 0.0 0.0 -90.0 0.5000 158.79
93 1.1250 40.0 280 239.25 90.0 0.0 0.0 -90.0 0.5000 159.95
94 1.1250 45.0 280 239.93 90.0 0.0 0.0 -90.0 0.5000 161.49
95 1.1250 50.0 280 240.90 90.0 0.0 0.0 -90.0 0.5000 163.48
96 1.1250 55.0 280 242.23 90.0 0.0 0.0 -90.0 0.5000 165.96
97 1.1250 60.0 280 243.91 90.0 0.0 0.0 -90.0 0.5000 168.84
98 1.1250 65.0 280 245.80 90.0 0.0 0.0 -90.0 0.5000 171.92
99 1.1250 70.0 280 329.98 0.0 0.0 0.0 0.0 0.5000 306.43
100 1.1250 75.0 280 331.80 0.0 0.0 0.0 0.0 0.5000 307.24
101 1.1250 80.0 280 333.39 0.0 0.0 0.0 0.0 0.5000 307.92
102 1.1500 0.0 280 240.41 90.0 0.0 0.0 -90.0 0.5000 161.30
103 1.1500 5.0 280 240.42 90.0 0.0 0.0 -90.0 0.5000 161.33
104 1.1500 10.0 280 240.44 90.0 0.0 0.0 -90.0 0.5000 161.41
105 1.1500 15.0 280 240.48 90.0 0.0 0.0 -90.0 0.5000 161.56
106 1.1500 20.0 280 240.55 90.0 0.0 0.0 -90.0 0.5000 161.82
107 1.1500 25.0 280 240.66 90.0 0.0 0.0 -90.0 0.5000 162.20
108 1.1500 30.0 280 240.86 90.0 0.0 0.0 -90.0 0.5000 162.79
109 1.1500 35.0 280 241.24 90.0 0.0 0.0 -90.0 0.5000 163.77
110 1.1500 40.0 280 241.80 90.0 0.0 0.0 -90.0 0.5000 165.12
111 1.1500 45.0 280 242.63 90.0 0.0 0.0 -90.0 0.5000 166.91
112 1.1500 50.0 280 243.85 90.0 0.0 0.0 -90.0 0.5000 169.27
113 1.1500 55.0 280 245.52 90.0 0.0 0.0 -90.0 0.5000 172.22
114 1.1500 60.0 280 247.59 90.0 0.0 0.0 -90.0 0.5000 175.61
115 1.1500 65.0 280 360.12 0.0 0.0 0.0 0.0 0.5000 321.31
116 1.1500 70.0 280 363.74 0.0 0.0 0.0 0.0 0.5000 321.89
117 1.1500 75.0 280 368.08 0.0 0.0 0.0 0.0 0.5000 322.50
118 1.1500 80.0 280 372.70 0.0 0.0 0.0 0.0 0.5000 323.02
119 1.1750 0.0 280 242.77 90.0 0.0 0.0 -90.0 0.5000 166.10
120 1.1750 5.0 280 242.78 90.0 0.0 0.0 -90.0 0.5000 166.13
121 1.1750 10.0 280 242.80 90.0 0.0 0.0 -90.0 0.5000 166.22
122 1.1750 15.0 280 242.84 90.0 0.0 0.0 -90.0 0.5000 166.38
123 1.1750 20.0 280 242.92 90.0 0.0 0.0 -90.0 0.5000 166.65
124 1.1750 25.0 280 243.04 90.0 0.0 0.0 -90.0 0.5000 167.06
125 1.1750 30.0 280 243.32 90.0 0.0 0.0 -90.0 0.5000 167.83
126 1.1750 35.0 280 243.77 90.0 0.0 0.0 -90.0 0.5000 168.96
127 1.1750 40.0 280 244.46 90.0 0.0 0.0 -90.0 0.5000 170.52
128 1.1750 45.0 280 245.49 90.0 0.0 0.0 -90.0 0.5000 172.63
129 1.1750 50.0 280 247.03 90.0 0.0 0.0 -90.0 0.5000 175.46
130 1.1750 55.0 280 249.11 90.0 0.0 0.0 -90.0 0.5000 178.97
131 1.1750 60.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 329.50
132 1.1750 65.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 329.81
133 1.1750 70.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 330.14
134 1.1750 75.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 330.47
135 1.1750 80.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 330.76
136 1.2000 0.0 280 245.16 90.0 0.0 0.0 -90.0 0.5000 171.01
137 1.2000 5.0 280 245.17 90.0 0.0 0.0 -90.0 0.5000 171.04
138 1.2000 10.0 280 245.19 90.0 0.0 0.0 -90.0 0.5000 171.13
139 1.2000 15.0 280 245.24 90.0 0.0 0.0 -90.0 0.5000 171.30
140 1.2000 20.0 280 245.32 90.0 0.0 0.0 -90.0 0.5000 171.59
141 1.2000 25.0 280 245.51 90.0 0.0 0.0 -90.0 0.5000 172.14
142 1.2000 30.0 280 245.87 90.0 0.0 0.0 -90.0 0.5000 173.08
143 1.2000 35.0 280 246.41 90.0 0.0 0.0 -90.0 0.5000 174.38
144 1.2000 40.0 280 247.25 90.0 0.0 0.0 -90.0 0.5000 176.21
145 1.2000 45.0 280 248.55 90.0 0.0 0.0 -90.0 0.5000 178.72
146 1.2000 50.0 280 250.49 90.0 0.0 0.0 -90.0 0.5000 182.12
147 1.2000 55.0 280 252.93 90.0 0.0 0.0 -90.0 0.5000 186.10
148 1.2000 60.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 336.51
149 1.2000 65.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 336.84
150 1.2000 70.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 337.20
151 1.2000 75.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 337.52
152 1.2000 80.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 337.83
153 1.2250 0.0 280 247.59 90.0 0.0 0.0 -90.0 0.5000 176.02
154 1.2250 5.0 280 247.59 90.0 0.0 0.0 -90.0 0.5000 176.05
155 1.2250 10.0 280 247.62 90.0 0.0 0.0 -90.0 0.5000 176.15
156 1.2250 15.0 280 247.68 90.0 0.0 0.0 -90.0 0.5000 176.37
157 1.2250 20.0 280 247.82 90.0 0.0 0.0 -90.0 0.5000 176.78
158 1.2250 25.0 280 248.09 90.0 0.0 0.0 -90.0 0.5000 177.51
159 1.2250 30.0 280 248.52 90.0 0.0 0.0 -90.0 0.5000 178.59
160 1.2250 35.0 280 249.18 90.0 0.0 0.0 -90.0 0.5000 180.09
161 1.2250 40.0 280 250.21 90.0 0.0 0.0 -90.0 0.5000 182.24
162 1.2250 45.0 280 251.87 90.0 0.0 0.0 -90.0 0.5000 185.28
163 1.2250 50.0 280 254.33 90.0 0.0 0.0 -90.0 0.5000 189.35
164 1.2250 55.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 343.29
165 1.2250 60.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 343.52
166 1.2250 65.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 343.86
167 1.2250 70.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 344.23
168 1.2250 75.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 344.58
169 1.2250 80.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 344.86
170 1.2500 0.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 351.32
171 1.2500 5.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 351.26
172 1.2500 10.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 351.02
173 1.2500 15.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 351.04
174 1.2500 20.0 280 250.53 90.0 0.0 0.0 -90.0 0.5000 182.45
175 1.2500 25.0 280 250.83 90.0 0.0 0.0 -90.0 0.5000 183.23
176 1.2500 30.0 280 251.31 90.0 0.0 0.0 -90.0 0.5000 184.41
177 1.2500 35.0 280 252.11 90.0 0.0 0.0 -90.0 0.5000 186.16
178 1.2500 40.0 280 253.42 90.0 0.0 0.0 -90.0 0.5000 188.72
179 1.2500 45.0 280 255.56 90.0 0.0 0.0 -90.0 0.5000 192.43
180 1.2500 50.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 350.13
181 1.2500 55.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 350.30
182 1.2500 60.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 350.55
183 1.2500 65.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 350.89
184 1.2500 70.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 351.23
185 1.2500 75.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 351.61
186 1.2500 80.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 351.93
187 1.2750 0.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 358.36
188 1.2750 5.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 358.32
189 1.2750 10.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 358.19
190 1.2750 15.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 357.98
191 1.2750 20.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 357.71
192 1.2750 25.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 357.67
193 1.2750 30.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 357.51
194 1.2750 35.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 357.28
195 1.2750 40.0 280 257.05 90.0 0.0 0.0 -90.0 0.5000 195.98
196 1.2750 45.0 280 259.92 90.0 0.0 0.0 -90.0 0.5000 200.72
197 1.2750 50.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 357.13
198 1.2750 55.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 357.30
199 1.2750 60.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 357.57
200 1.2750 65.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 357.94
201 1.2750 70.0 280 450.00 90.0 90.0 -90.0 -90.0 0.5000 358.32
