 #Name of benchmark/experiment: Experiment 2 (cold start)
 # Describe how ice line latitude is determined: The surface ice coverage corres
 #ponds to latitude bands in which the annually-averaged surface temperature is < 263.15 K.
 # Columns of data
 # Case = case number (0 -> total number of cases in experiment)
 # SEFF = effective stellar flux divided by value at Earth (1361 W/m^2)
 # Obl = obliquity (degrees)
 # XCO2 = CO2 mixing ratio (volume in ppm)
 # Tglob = global, annual mean surface temperature (K)
 #IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineNMin = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMin = latitude of northern edge of ice in northern hemisphere (deg)
 # Diff = thermal diffusion coefficient (W/m^2/K)
 # OLRglob = global, annual mean outgoing longwave radiation (W/m^2)

 # Case SEFF Obl XCO2 Tglob IceLineNMax IceLineNmin IceLineSMax IceLineSMin Diff OLRGlob
59 8.26446E-01  30.0 280.  221.271  90.0   0.0   0.0 -90.0  0.50  115.278
60 7.90123E-01  30.0 280.  217.894  90.0   0.0   0.0 -90.0  0.50  109.356
61 7.54830E-01  30.0 280.  214.654  90.0   0.0   0.0 -90.0  0.50  103.758
62 7.24310E-01  30.0 280.  211.883  90.0   0.0   0.0 -90.0  0.50   99.058
63 6.94444E-01  30.0 280.  209.185  90.0   0.0   0.0 -90.0  0.50   94.568
64 6.66389E-01  30.0 280.  206.645  90.0   0.0   0.0 -90.0  0.50   90.425
65 6.40000E-01  30.0 280.  204.231  90.0   0.0   0.0 -90.0  0.50   86.572
66 6.15148E-01  30.0 280.  201.921  90.0   0.0   0.0 -90.0  0.50   82.970
67 5.91716E-01  30.0 280.  199.714  90.0   0.0   0.0 -90.0  0.50   79.597
68 5.69598E-01  30.0 280.  197.595  90.0   0.0   0.0 -90.0  0.50   76.431
69 5.48697E-01  30.0 280.  195.560  90.0   0.0   0.0 -90.0  0.50   73.452
70 5.28926E-01  30.0 280.  193.589  90.0   0.0   0.0 -90.0  0.50   70.646
71 5.10204E-01  30.0 280.  191.683  90.0   0.0   0.0 -90.0  0.50   68.001
72 4.92459E-01  30.0 280.  189.850  90.0   0.0   0.0 -90.0  0.50   65.506
73 4.75624E-01  30.0 280.  188.075  90.0   0.0   0.0 -90.0  0.50   63.154
74 4.59638E-01  30.0 280.  186.357  90.0   0.0   0.0 -90.0  0.50   60.934
75 4.44444E-01  30.0 280.  184.672  90.0   0.0   0.0 -90.0  0.50   58.840

76 9.07030E-01  40.0 280.  229.470  90.0   0.0   0.0 -90.0  0.50  130.317
77 8.65333E-01  40.0 280.  225.333  90.0   0.0   0.0 -90.0  0.50  122.935
78 8.26446E-01  40.0 280.  221.560  90.0   0.0   0.0 -90.0  0.50  116.296
79 7.90123E-01  40.0 280.  218.090  90.0   0.0   0.0 -90.0  0.50  110.280
80 7.54830E-01  40.0 280.  214.751  90.0   0.0   0.0 -90.0  0.50  104.573
81 7.24310E-01  40.0 280.  211.887  90.0   0.0   0.0 -90.0  0.50   99.760
82 6.94444E-01  40.0 280.  209.104  90.0   0.0   0.0 -90.0  0.50   95.149
83 6.66389E-01  40.0 280.  206.486  90.0   0.0   0.0 -90.0  0.50   90.894
84 6.40000E-01  40.0 280.  204.009  90.0   0.0   0.0 -90.0  0.50   86.944
85 6.15148E-01  40.0 280.  201.649  90.0   0.0   0.0 -90.0  0.50   83.267
86 5.91716E-01  40.0 280.  199.402  90.0   0.0   0.0 -90.0  0.50   79.840
87 5.69598E-01  40.0 280.  197.263  90.0   0.0   0.0 -90.0  0.50   76.638
88 5.48697E-01  40.0 280.  195.212  90.0   0.0   0.0 -90.0  0.50   73.639
89 5.28926E-01  40.0 280.  193.231  90.0   0.0   0.0 -90.0  0.50   70.826
90 5.10204E-01  40.0 280.  191.311  90.0   0.0   0.0 -90.0  0.50   68.175
91 4.92459E-01  40.0 280.  189.441  90.0   0.0   0.0 -90.0  0.50   65.674
92 4.75624E-01  40.0 280.  187.615  90.0   0.0   0.0 -90.0  0.50   63.311
93 4.59638E-01  40.0 280.  185.810  90.0   0.0   0.0 -90.0  0.50   61.080
94 4.44444E-01  40.0 280.  184.023  90.0   0.0   0.0 -90.0  0.50   58.976

95 9.07030E-01  50.0 280.  230.332  90.0   0.0   0.0 -90.0  0.50  132.098
96 8.65333E-01  50.0 280.  226.007  90.0   0.0   0.0 -90.0  0.50  124.455
97 8.26446E-01  50.0 280.  222.105  90.0   0.0   0.0 -90.0  0.50  117.662
98 7.90123E-01  50.0 280.  218.515  90.0   0.0   0.0 -90.0  0.50  111.503
99 7.54830E-01  50.0 280.  215.059  90.0   0.0   0.0 -90.0  0.50  105.662
100 7.24310E-01  50.0 280.  212.089  90.0   0.0   0.0 -90.0  0.50  100.723
101 6.94444E-01  50.0 280.  209.201  90.0   0.0   0.0 -90.0  0.50   95.991
102 6.66389E-01  50.0 280.  206.494  90.0   0.0   0.0 -90.0  0.50   91.623
103 6.40000E-01  50.0 280.  203.938  90.0   0.0   0.0 -90.0  0.50   87.572
104 6.15148E-01  50.0 280.  201.512  90.0   0.0   0.0 -90.0  0.50   83.802
105 5.91716E-01  50.0 280.  199.204  90.0   0.0   0.0 -90.0  0.50   80.289
106 5.69598E-01  50.0 280.  196.993  90.0   0.0   0.0 -90.0  0.50   77.008
107 5.48697E-01  50.0 280.  194.866  90.0   0.0   0.0 -90.0  0.50   73.940
108 5.28926E-01  50.0 280.  192.804  90.0   0.0   0.0 -90.0  0.50   71.066
109 5.10204E-01  50.0 280.  190.795  90.0   0.0   0.0 -90.0  0.50   68.371
110 4.92459E-01  50.0 280.  188.837  90.0   0.0   0.0 -90.0  0.50   65.842
111 4.75624E-01  50.0 280.  186.981  90.0   0.0   0.0 -90.0  0.50   63.510
112 4.59638E-01  50.0 280.  185.204  90.0   0.0   0.0 -90.0  0.50   61.351
113 4.44444E-01  50.0 280.  183.503  90.0   0.0   0.0 -90.0  0.50   59.346

114 9.07030E-01  60.0 280.  231.963  90.0   0.0   0.0 -90.0  0.50  135.080
115 8.65333E-01  60.0 280.  227.294  90.0   0.0   0.0 -90.0  0.50  126.876
116 8.26446E-01  60.0 280.  223.072  90.0   0.0   0.0 -90.0  0.50  119.595
117 7.90123E-01  60.0 280.  219.228  90.0   0.0   0.0 -90.0  0.50  113.073
118 7.54830E-01  60.0 280.  215.563  90.0   0.0   0.0 -90.0  0.50  106.947
119 7.24310E-01  60.0 280.  212.483  90.0   0.0   0.0 -90.0  0.50  101.876
120 6.94444E-01  60.0 280.  209.481  90.0   0.0   0.0 -90.0  0.50   97.005
121 6.66389E-01  60.0 280.  206.676  90.0   0.0   0.0 -90.0  0.50   92.510
122 6.40000E-01  60.0 280.  204.030  90.0   0.0   0.0 -90.0  0.50   88.342
123 6.15148E-01  60.0 280.  201.511  90.0   0.0   0.0 -90.0  0.50   84.471
124 5.91716E-01  60.0 280.  199.104  90.0   0.0   0.0 -90.0  0.50   80.864
125 5.69598E-01  60.0 280.  196.792  90.0   0.0   0.0 -90.0  0.50   77.496
126 5.48697E-01  60.0 280.  194.557  90.0   0.0   0.0 -90.0  0.50   74.350
127 5.28926E-01  60.0 280.  192.391  90.0   0.0   0.0 -90.0  0.50   71.419
128 5.10204E-01  60.0 280.  190.363  90.0   0.0   0.0 -90.0  0.50   68.727
129 4.92459E-01  60.0 280.  188.438  90.0   0.0   0.0 -90.0  0.50   66.242
130 4.75624E-01  60.0 280.  186.607  90.0   0.0   0.0 -90.0  0.50   63.945
131 4.59638E-01  60.0 280.  184.867  90.0   0.0   0.0 -90.0  0.50   61.817
132 4.44444E-01  60.0 280.  183.198  90.0   0.0   0.0 -90.0  0.50   59.847

133 9.07030E-01  70.0 280.  233.738  90.0   0.0   0.0 -90.0  0.50  138.255
134 8.65333E-01  70.0 280.  228.836  90.0   0.0   0.0 -90.0  0.50  129.622
135 8.26446E-01  70.0 280.  224.349  90.0   0.0   0.0 -90.0  0.50  121.900
136 7.90123E-01  70.0 280.  220.245  90.0   0.0   0.0 -90.0  0.50  114.979
137 7.54830E-01  70.0 280.  216.353  90.0   0.0   0.0 -90.0  0.50  108.528
138 7.24310E-01  70.0 280.  213.038  90.0   0.0   0.0 -90.0  0.50  103.122
139 6.94444E-01  70.0 280.  209.852  90.0   0.0   0.0 -90.0  0.50   97.986
140 6.66389E-01  70.0 280.  206.930  90.0   0.0   0.0 -90.0  0.50   93.334
141 6.40000E-01  70.0 280.  204.180  90.0   0.0   0.0 -90.0  0.50   89.059
142 6.15148E-01  70.0 280.  201.560  90.0   0.0   0.0 -90.0  0.50   85.088
143 5.91716E-01  70.0 280.  199.055  90.0   0.0   0.0 -90.0  0.50   81.395
144 5.69598E-01  70.0 280.  196.640  90.0   0.0   0.0 -90.0  0.50   77.948
145 5.48697E-01  70.0 280.  194.348  90.0   0.0   0.0 -90.0  0.50   74.775
146 5.28926E-01  70.0 280.  192.194  90.0   0.0   0.0 -90.0  0.50   71.866
147 5.10204E-01  70.0 280.  190.164  90.0   0.0   0.0 -90.0  0.50   69.185
148 4.92459E-01  70.0 280.  188.241  90.0   0.0   0.0 -90.0  0.50   66.709
149 4.75624E-01  70.0 280.  186.418  90.0   0.0   0.0 -90.0  0.50   64.420
150 4.59638E-01  70.0 280.  184.684  90.0   0.0   0.0 -90.0  0.50   62.297
151 4.44444E-01  70.0 280.  182.834  90.0   0.0   0.0 -90.0  0.50   60.108

152 9.07030E-01  80.0 280.  232.448  90.0   0.0   0.0 -90.0  0.50  139.423
153 8.65333E-01  80.0 280.  229.876  90.0   0.0   0.0 -90.0  0.50  131.459
154 8.26446E-01  80.0 280.  225.313  90.0   0.0   0.0 -90.0  0.50  123.596
155 7.90123E-01  80.0 280.  221.054  90.0   0.0   0.0 -90.0  0.50  116.423
156 7.54830E-01  80.0 280.  217.003  90.0   0.0   0.0 -90.0  0.50  109.734
157 7.24310E-01  80.0 280.  213.564  90.0   0.0   0.0 -90.0  0.50  104.155
158 6.94444E-01  80.0 280.  210.264  90.0   0.0   0.0 -90.0  0.50   98.853
159 6.66389E-01  80.0 280.  207.177  90.0   0.0   0.0 -90.0  0.50   93.974
160 6.40000E-01  80.0 280.  204.321  90.0   0.0   0.0 -90.0  0.50   89.574
161 6.15148E-01  80.0 280.  201.628  90.0   0.0   0.0 -90.0  0.50   85.533
162 5.91716E-01  80.0 280.  199.048  90.0   0.0   0.0 -90.0  0.50   81.778
163 5.69598E-01  80.0 280.  196.588  90.0   0.0   0.0 -90.0  0.50   78.305
164 5.48697E-01  80.0 280.  194.289  90.0   0.0   0.0 -90.0  0.50   75.137
165 5.28926E-01  80.0 280.  192.126  90.0   0.0   0.0 -90.0  0.50   72.225
166 5.10204E-01  80.0 280.  190.090  90.0   0.0   0.0 -90.0  0.50   69.542
167 4.92459E-01  80.0 280.  188.163  90.0   0.0   0.0 -90.0  0.50   67.066
168 4.75624E-01  80.0 280.  186.348  90.0   0.0   0.0 -90.0  0.50   64.775
169 4.59638E-01  80.0 280.  184.609  90.0   0.0   0.0 -90.0  0.50   62.654
170 4.44444E-01  80.0 280.  182.959  90.0   0.0   0.0 -90.0  0.50   60.691

171 9.07030E-01  90.0 280.  235.571  90.0   0.0   0.0 -90.0  0.50  141.555
172 8.65333E-01  90.0 280.  230.302  90.0   0.0   0.0 -90.0  0.50  132.217
173 8.26446E-01  90.0 280.  225.654  90.0   0.0   0.0 -90.0  0.50  124.192
174 7.90123E-01  90.0 280.  221.330  90.0   0.0   0.0 -90.0  0.50  116.912
175 7.54830E-01  90.0 280.  217.275  90.0   0.0   0.0 -90.0  0.50  110.220
176 7.24310E-01  90.0 280.  213.808  90.0   0.0   0.0 -90.0  0.50  104.593
177 6.94444E-01  90.0 280.  210.432  90.0   0.0   0.0 -90.0  0.50   99.189
178 6.66389E-01  90.0 280.  207.347  90.0   0.0   0.0 -90.0  0.50   94.297
179 6.40000E-01  90.0 280.  204.423  90.0   0.0   0.0 -90.0  0.50   89.801
180 6.15148E-01  90.0 280.  201.662  90.0   0.0   0.0 -90.0  0.50   85.704
181 5.91716E-01  90.0 280.  199.077  90.0   0.0   0.0 -90.0  0.50   81.936
182 5.69598E-01  90.0 280.  196.588  90.0   0.0   0.0 -90.0  0.50   78.450
183 5.48697E-01  90.0 280.  194.304  90.0   0.0   0.0 -90.0  0.50   75.283
184 5.28926E-01  90.0 280.  192.130  90.0   0.0   0.0 -90.0  0.50   72.365
185 5.10204E-01  90.0 280.  190.077  90.0   0.0   0.0 -90.0  0.50   69.680
186 4.92459E-01  90.0 280.  188.159  90.0   0.0   0.0 -90.0  0.50   67.194
187 4.75624E-01  90.0 280.  186.337  90.0   0.0   0.0 -90.0  0.50   64.904
188 4.59638E-01  90.0 280.  184.604  90.0   0.0   0.0 -90.0  0.50   62.781
189 4.44444E-01  90.0 280.  182.946  90.0   0.0   0.0 -90.0  0.50   60.817
