 # Name of benchmark/experiment: Experiment 2 (cold start)
 # Describe how ice line latitude is determined: The surface ice coverage corresponds to latitude bands in which the annually-averaged surface temperature is < 263.15 K.
 # Columns of data
 # Case = case number (0 -> total number of cases in experiment)
 # SEFF = effective stellar flux divided by value at Earth (1361 W/m^2)
 # Obl = obliquity (degrees)
 # XCO2 = CO2 mixing ratio (volume in ppm)
 # Tglob = global, annual mean surface temperature (K)
 # IceLineS = latitude of ice line in southern hemisphere (deg)
 # IceLineN = latitude of ice line in northern hemisphere (deg)

 # Case SEFF Obl XCO2 Tglob IceLineN IceLineS
84 1.23457E+00  80.0 280.  385.837  90.0 -90.0
85 1.16874E+00  80.0 280.  381.941  90.0 -90.0
86 1.10803E+00  80.0 280.  297.443  90.0 -90.0
87 1.05172E+00  80.0 280.  291.320  90.0 -90.0
88 1.00000E+00  80.0 280.  286.809  90.0 -90.0
89 6.40000E-01  80.0 280.  204.279  0 0

90 1.56250E+00  90.0 280.  387.736  90.0 -90.0
91 1.46924E+00  90.0 280.  387.480  90.0 -90.0
92 1.38408E+00  90.0 280.  387.155  90.0 -90.0
93 1.30597E+00  90.0 280.  386.650  90.0 -90.0
94 1.23457E+00  90.0 280.  385.200  90.0 -90.0
95 1.16874E+00  90.0 280.  380.290  90.0 -90.0
96 1.10803E+00  90.0 280.  298.851  90.0 -90.0
97 1.05172E+00  90.0 280.  291.940  90.0 -90.0
98 1.00000E+00  90.0 280.  287.271  90.0 -90.0
99 6.40000E-01  90.0 280.  204.367  0 0
