insolation,obliquity,status
0.8,0.0,0.0
0.8,10.0,0.0
0.8,20.0,0.0
0.8,30.0,0.0
0.8,40.0,0.0
0.8,50.0,0.0
0.8,60.0,0.0
0.8,70.0,0.0
0.8,80.0,0.0
0.8,90.0,0.0
0.825,0.0,0.0
0.825,10.0,0.0
0.825,20.0,0.0
0.825,30.0,0.0
0.825,40.0,0.0
0.825,50.0,0.0
0.825,60.0,0.0
0.825,70.0,0.0
0.825,80.0,0.0
0.825,90.0,0.0
0.85,0.0,0.0
0.85,10.0,0.0
0.85,20.0,0.0
0.85,30.0,0.0
0.85,40.0,0.0
0.85,50.0,0.0
0.85,60.0,0.0
0.85,70.0,0.0
0.85,80.0,0.0
0.85,90.0,0.0
0.875,0.0,0.0
0.875,10.0,0.0
0.875,20.0,0.0
0.875,30.0,0.0
0.875,40.0,0.0
0.875,50.0,0.0
0.875,60.0,0.0
0.875,70.0,0.0
0.875,80.0,0.0
0.875,90.0,0.0
0.9,0.0,0.0
0.9,10.0,0.0
0.9,20.0,0.0
0.9,30.0,0.0
0.9,40.0,0.0
0.9,50.0,0.0
0.9,60.0,0.0
0.9,70.0,0.0
0.9,80.0,0.0
0.9,90.0,0.0
0.925,0.0,0.0
0.925,10.0,0.0
0.925,20.0,0.0
0.925,30.0,0.0
0.925,40.0,0.0
0.925,50.0,0.0
0.925,60.0,0.0
0.925,70.0,0.0
0.925,80.0,0.0
0.925,90.0,0.0
0.95,0.0,0.0
0.95,10.0,0.0
0.95,20.0,0.0
0.95,30.0,0.0
0.95,40.0,0.0
0.95,50.0,0.0
0.95,60.0,0.0
0.95,70.0,0.0
0.95,80.0,0.0
0.95,90.0,0.0
0.975,0.0,0.0
0.975,10.0,0.0
0.975,20.0,0.0
0.975,30.0,0.0
0.975,40.0,0.0
0.975,50.0,1.0
0.975,60.0,2.0
0.975,70.0,2.0
0.975,80.0,2.0
0.975,90.0,0.0
1.0,0.0,1.0
1.0,10.0,1.0
1.0,20.0,0.0
1.0,30.0,0.0
1.0,40.0,0.0
1.0,50.0,1.0
1.0,60.0,2.0
1.0,70.0,2.0
1.0,80.0,2.0
1.0,90.0,2.0
1.025,0.0,1.0
1.025,10.0,1.0
1.025,20.0,1.0
1.025,30.0,1.0
1.025,40.0,1.0
1.025,50.0,1.0
1.025,60.0,2.0
1.025,70.0,2.0
1.025,80.0,2.0
1.025,90.0,2.0
1.05,0.0,1.0
1.05,10.0,1.0
1.05,20.0,1.0
1.05,30.0,1.0
1.05,40.0,1.0
1.05,50.0,3.0
1.05,60.0,3.0
1.05,70.0,3.0
1.05,80.0,2.0
1.05,90.0,2.0
1.075,0.0,1.0
1.075,10.0,1.0
1.075,20.0,1.0
1.075,30.0,3.0
1.075,40.0,3.0
1.075,50.0,3.0
1.075,60.0,3.0
1.075,70.0,3.0
1.075,80.0,3.0
1.075,90.0,3.0
1.1,0.0,3.0
1.1,10.0,3.0
1.1,20.0,3.0
1.1,30.0,3.0
1.1,40.0,3.0
1.1,50.0,3.0
1.1,60.0,3.0
1.1,70.0,3.0
1.1,80.0,3.0
1.1,90.0,3.0
1.125,0.0,3.0
1.125,10.0,3.0
1.125,20.0,3.0
1.125,30.0,3.0
1.125,40.0,3.0
1.125,50.0,3.0
1.125,60.0,3.0
1.125,70.0,3.0
1.125,80.0,3.0
1.125,90.0,3.0
1.15,0.0,3.0
1.15,10.0,3.0
1.15,20.0,3.0
1.15,30.0,3.0
1.15,40.0,3.0
1.15,50.0,3.0
1.15,60.0,3.0
1.15,70.0,3.0
1.15,80.0,3.0
1.15,90.0,3.0
1.175,0.0,3.0
1.175,10.0,3.0
1.175,20.0,3.0
1.175,30.0,3.0
1.175,40.0,3.0
1.175,50.0,3.0
1.175,60.0,3.0
1.175,70.0,3.0
1.175,80.0,3.0
1.175,90.0,3.0
1.2,0.0,3.0
1.2,10.0,3.0
1.2,20.0,3.0
1.2,30.0,3.0
1.2,40.0,3.0
1.2,50.0,3.0
1.2,60.0,3.0
1.2,70.0,3.0
1.2,80.0,3.0
1.2,90.0,3.0
