# Name of benchmark/experiment: Benchmark 2
# Case number: 0 
# Instellation (S_earth): 1
# XCO2 (ppm): 280
# Obliquity (degrees): 23.5

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)
# fice = annually averaged ice fraction
# fclo = annually averaged cloud fraction
# Diff = annually averaged meridional diffusion coefficient (W m^-2 K^-1)


# Lat Tsurf Asurf ATOA OLR fice fclo Diff
-88.5 239.92 0.5985 0.5985 160.86 1.0000 0.0000 0.5000
-85.5 240.17 0.6021 0.6021 161.34 1.0000 0.0000 0.5000
-82.5 240.66 0.6040 0.6040 162.29 1.0000 0.0000 0.5000
-79.5 241.39 0.6046 0.6046 163.74 1.0000 0.0000 0.5000
-76.5 242.38 0.6044 0.6044 165.67 1.0000 0.0000 0.5000
-73.5 243.61 0.6068 0.6068 168.12 1.0000 0.0000 0.5000
-70.5 245.10 0.6043 0.6043 171.07 1.0000 0.0000 0.5000
-67.5 246.85 0.6038 0.6038 174.57 1.0000 0.0000 0.5000
-64.5 248.85 0.6021 0.6021 178.61 1.0000 0.0000 0.5000
-61.5 251.09 0.5942 0.5942 183.22 1.0000 0.0000 0.5000
-58.5 253.59 0.5867 0.5867 188.40 1.0000 0.0000 0.5000
-55.5 256.32 0.5790 0.5790 194.14 1.0000 0.0000 0.5000
-52.5 259.28 0.5713 0.5713 200.45 1.0000 0.0000 0.5000
-49.5 262.48 0.5270 0.5270 207.30 0.9336 0.0000 0.5000
-46.5 265.86 0.3443 0.3443 214.54 0.4816 0.0000 0.5000
-43.5 269.14 0.2937 0.2937 221.57 0.2421 0.0000 0.5000
-40.5 272.26 0.2771 0.2771 228.21 0.1289 0.0000 0.5000
-37.5 275.19 0.2688 0.2688 234.43 0.0729 0.0000 0.5000
-34.5 277.92 0.2631 0.2631 240.18 0.0435 0.0000 0.5000
-31.5 280.47 0.2585 0.2585 245.43 0.0274 0.0000 0.5000
-28.5 282.81 0.2545 0.2545 250.16 0.0181 0.0000 0.5000
-25.5 284.94 0.2509 0.2509 254.41 0.0125 0.0000 0.5000
-22.5 286.86 0.2477 0.2477 258.14 0.0091 0.0000 0.5000
-19.5 288.56 0.2449 0.2449 261.40 0.0068 0.0000 0.5000
-16.5 290.03 0.2425 0.2425 264.18 0.0046 0.0000 0.5000
-13.5 291.26 0.2406 0.2406 266.50 0.0038 0.0000 0.5000
-10.5 292.26 0.2391 0.2391 268.32 0.0033 0.0000 0.5000
-7.5 293.01 0.2380 0.2380 269.66 0.0030 0.0000 0.5000
-4.5 293.52 0.2372 0.2372 270.56 0.0027 0.0000 0.5000
-1.5 293.77 0.2369 0.2369 271.01 0.0026 0.0000 0.5000
1.5 293.77 0.2369 0.2369 271.01 0.0026 0.0000 0.5000
4.5 293.52 0.2372 0.2372 270.56 0.0027 0.0000 0.5000
7.5 293.01 0.2380 0.2380 269.66 0.0030 0.0000 0.5000
10.5 292.26 0.2391 0.2391 268.32 0.0033 0.0000 0.5000
13.5 291.26 0.2406 0.2406 266.50 0.0038 0.0000 0.5000
16.5 290.03 0.2425 0.2425 264.18 0.0046 0.0000 0.5000
19.5 288.56 0.2449 0.2449 261.40 0.0068 0.0000 0.5000
22.5 286.86 0.2477 0.2477 258.14 0.0091 0.0000 0.5000
25.5 284.94 0.2509 0.2509 254.41 0.0125 0.0000 0.5000
28.5 282.81 0.2545 0.2545 250.16 0.0181 0.0000 0.5000
31.5 280.47 0.2585 0.2585 245.43 0.0274 0.0000 0.5000
34.5 277.92 0.2631 0.2631 240.18 0.0435 0.0000 0.5000
37.5 275.19 0.2688 0.2688 234.43 0.0729 0.0000 0.5000
40.5 272.26 0.2771 0.2771 228.21 0.1289 0.0000 0.5000
43.5 269.14 0.2937 0.2937 221.57 0.2421 0.0000 0.5000
46.5 265.86 0.3443 0.3443 214.54 0.4816 0.0000 0.5000
49.5 262.48 0.5270 0.5270 207.30 0.9336 0.0000 0.5000
52.5 259.28 0.5713 0.5713 200.45 1.0000 0.0000 0.5000
55.5 256.31 0.5790 0.5790 194.14 1.0000 0.0000 0.5000
58.5 253.59 0.5867 0.5867 188.40 1.0000 0.0000 0.5000
61.5 251.09 0.5942 0.5942 183.22 1.0000 0.0000 0.5000
64.5 248.85 0.6021 0.6021 178.61 1.0000 0.0000 0.5000
67.5 246.85 0.6038 0.6038 174.57 1.0000 0.0000 0.5000
70.5 245.10 0.6043 0.6043 171.07 1.0000 0.0000 0.5000
73.5 243.61 0.6068 0.6068 168.12 1.0000 0.0000 0.5000
76.5 242.38 0.6044 0.6044 165.67 1.0000 0.0000 0.5000
79.5 241.39 0.6046 0.6046 163.74 1.0000 0.0000 0.5000
82.5 240.66 0.6040 0.6040 162.29 1.0000 0.0000 0.5000
85.5 240.17 0.6021 0.6021 161.34 1.0000 0.0000 0.5000
88.5 239.92 0.5985 0.5985 160.86 1.0000 0.0000 0.5000
