# Name of benchmark/experiment: Experiment 2
# Describe how ice line latitude is determined: where temperature falls below freezing in annual average
# Note that Tglob = 450. means the case is in runaway greenhouse: ESTM output is not reliable

# Columns of data
# Case = case number (total: 289)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineN = latitude of ice line in northern hemisphere (deg)
# IceLineS = latitude of ice line in southern hemisphere (deg)
# fice = annually averaged ice fraction
# fclo = annually averaged cloud fraction
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# dTep = average difference between the temperatures at Equator and North Pole (K)
# diff = average diffusion coefficient (W m^-2 K^-1)

# Case Inst Obl XCO2 Tglob IceLineN IceLineS fice fclo ATOA dTep diff
0 1.0000 0.0 280 227.15 0.0 0.0 1.0000 0.0000 0.6066 29.57 0.5000
1 1.0000 5.0 280 227.15 0.0 0.0 1.0000 0.0000 0.6067 29.16 0.5000
2 1.0000 10.0 280 227.15 0.0 0.0 1.0000 0.0000 0.6068 27.97 0.5000
3 1.0000 15.0 280 227.15 0.0 0.0 1.0000 0.0000 0.6068 26.07 0.5000
4 1.0000 20.0 280 227.16 0.0 0.0 1.0000 0.0000 0.6069 23.56 0.5000
5 1.0000 25.0 280 227.19 0.0 0.0 1.0000 0.0000 0.6069 20.55 0.5000
6 1.0000 30.0 280 227.28 0.0 0.0 1.0000 0.0000 0.6065 17.12 0.5000
7 1.0000 35.0 280 227.41 0.0 0.0 1.0000 0.0000 0.6060 13.37 0.5000
8 1.0000 40.0 280 227.59 0.0 0.0 1.0000 0.0000 0.6056 9.39 0.5000
9 1.0000 45.0 280 227.87 0.0 0.0 1.0000 0.0000 0.6047 5.23 0.5000
10 1.0000 50.0 280 228.23 0.0 0.0 1.0000 0.0000 0.6036 0.97 0.5000
11 1.0000 55.0 280 228.70 0.0 -90.0 1.0000 0.0000 0.6022 3.30 0.5000
12 1.0000 60.0 280 229.26 90.0 0.0 1.0000 0.0000 0.6002 7.48 0.5000
13 1.0000 65.0 280 229.91 90.0 0.0 1.0000 0.0000 0.5986 11.51 0.5000
14 1.0000 70.0 280 230.62 90.0 0.0 1.0000 0.0000 0.5962 15.21 0.5000
15 1.0000 75.0 280 231.29 0.0 -90.0 1.0000 0.0000 0.5942 18.38 0.5000
16 1.0000 80.0 280 231.86 90.0 0.0 1.0000 0.0000 0.5921 20.80 0.5000
17 1.0250 0.0 280 229.24 0.0 0.0 1.0000 0.0000 0.6051 30.41 0.5000
18 1.0250 5.0 280 229.24 0.0 0.0 1.0000 0.0000 0.6052 29.99 0.5000
19 1.0250 10.0 280 229.24 0.0 0.0 1.0000 0.0000 0.6053 28.76 0.5000
20 1.0250 15.0 280 229.24 0.0 0.0 1.0000 0.0000 0.6053 26.79 0.5000
21 1.0250 20.0 280 229.27 0.0 0.0 1.0000 0.0000 0.6053 24.21 0.5000
22 1.0250 25.0 280 229.33 0.0 0.0 1.0000 0.0000 0.6051 21.11 0.5000
23 1.0250 30.0 280 229.44 0.0 0.0 1.0000 0.0000 0.6046 17.56 0.5000
24 1.0250 35.0 280 229.59 0.0 0.0 1.0000 0.0000 0.6040 13.69 0.5000
25 1.0250 40.0 280 229.81 0.0 0.0 1.0000 0.0000 0.6035 9.54 0.5000
26 1.0250 45.0 280 230.14 0.0 0.0 1.0000 0.0000 0.6023 5.18 0.5000
27 1.0250 50.0 280 230.58 0.0 0.0 1.0000 0.0000 0.6010 0.69 0.5000
28 1.0250 55.0 280 231.15 0.0 -90.0 1.0000 0.0000 0.5993 3.84 0.5000
29 1.0250 60.0 280 231.84 0.0 -90.0 1.0000 0.0000 0.5970 8.37 0.5000
30 1.0250 65.0 280 232.66 0.0 -90.0 1.0000 0.0000 0.5949 12.78 0.5000
31 1.0250 70.0 280 233.53 90.0 0.0 1.0000 0.0000 0.5921 16.84 0.5000
32 1.0250 75.0 280 234.36 0.0 -90.0 1.0000 0.0000 0.5896 20.31 0.5000
33 1.0250 80.0 280 235.06 0.0 -90.0 1.0000 0.0000 0.5871 22.96 0.5000
34 1.0500 0.0 280 231.34 0.0 0.0 1.0000 0.0000 0.6035 31.28 0.5000
35 1.0500 5.0 280 231.34 0.0 0.0 1.0000 0.0000 0.6035 30.84 0.5000
36 1.0500 10.0 280 231.35 0.0 0.0 1.0000 0.0000 0.6036 29.57 0.5000
37 1.0500 15.0 280 231.38 0.0 0.0 1.0000 0.0000 0.6036 27.54 0.5000
38 1.0500 20.0 280 231.42 0.0 0.0 1.0000 0.0000 0.6034 24.88 0.5000
39 1.0500 25.0 280 231.50 0.0 0.0 1.0000 0.0000 0.6031 21.67 0.5000
40 1.0500 30.0 280 231.63 0.0 0.0 1.0000 0.0000 0.6025 18.01 0.5000
41 1.0500 35.0 280 231.80 0.0 0.0 1.0000 0.0000 0.6019 14.00 0.5000
42 1.0500 40.0 280 232.08 0.0 0.0 1.0000 0.0000 0.6011 9.66 0.5000
43 1.0500 45.0 280 232.47 0.0 0.0 1.0000 0.0000 0.5997 5.10 0.5000
44 1.0500 50.0 280 233.00 0.0 0.0 1.0000 0.0000 0.5981 0.35 0.5000
45 1.0500 55.0 280 233.69 0.0 -90.0 1.0000 0.0000 0.5961 4.50 0.5000
46 1.0500 60.0 280 234.56 0.0 -90.0 1.0000 0.0000 0.5932 9.44 0.5000
47 1.0500 65.0 280 235.57 0.0 -90.0 1.0000 0.0000 0.5906 14.27 0.5000
48 1.0500 70.0 280 236.65 90.0 0.0 1.0000 0.0000 0.5872 18.73 0.5000
49 1.0500 75.0 280 237.67 90.0 0.0 1.0000 0.0000 0.5843 22.51 0.5000
50 1.0500 80.0 280 238.51 0.0 -90.0 1.0000 0.0000 0.5814 25.41 0.5000
51 1.0750 0.0 280 233.54 0.0 0.0 1.0000 0.0000 0.6014 32.24 0.5000
52 1.0750 5.0 280 233.54 0.0 0.0 1.0000 0.0000 0.6014 31.79 0.5000
53 1.0750 10.0 280 233.56 0.0 0.0 1.0000 0.0000 0.6015 30.46 0.5000
54 1.0750 15.0 280 233.59 0.0 0.0 1.0000 0.0000 0.6013 28.37 0.5000
55 1.0750 20.0 280 233.64 0.0 0.0 1.0000 0.0000 0.6012 25.61 0.5000
56 1.0750 25.0 280 233.73 0.0 0.0 1.0000 0.0000 0.6008 22.28 0.5000
57 1.0750 30.0 280 233.87 0.0 0.0 1.0000 0.0000 0.6002 18.49 0.5000
58 1.0750 35.0 280 234.06 0.0 0.0 1.0000 0.0000 0.5994 14.31 0.5000
59 1.0750 40.0 280 234.39 0.0 0.0 1.0000 0.0000 0.5985 9.78 0.5000
60 1.0750 45.0 280 234.86 0.0 0.0 1.0000 0.0000 0.5969 4.97 0.5000
61 1.0750 50.0 280 235.50 0.0 -90.0 1.0000 0.0000 0.5949 0.06 0.5000
62 1.0750 55.0 280 236.36 90.0 0.0 1.0000 0.0000 0.5924 5.32 0.5000
63 1.0750 60.0 280 237.44 0.0 -90.0 1.0000 0.0000 0.5890 10.73 0.5000
64 1.0750 65.0 280 238.70 90.0 0.0 1.0000 0.0000 0.5857 16.03 0.5000
65 1.0750 70.0 280 240.02 90.0 0.0 1.0000 0.0000 0.5816 20.88 0.5000
66 1.0750 75.0 280 241.26 0.0 -90.0 1.0000 0.0000 0.5782 25.01 0.5000
67 1.0750 80.0 280 242.24 90.0 0.0 0.9999 0.0000 0.5749 28.10 0.5000
68 1.1000 0.0 280 235.80 0.0 0.0 1.0000 0.0000 0.5990 33.25 0.5000
69 1.1000 5.0 280 235.80 0.0 0.0 1.0000 0.0000 0.5990 32.78 0.5000
70 1.1000 10.0 280 235.82 0.0 0.0 1.0000 0.0000 0.5990 31.40 0.5000
71 1.1000 15.0 280 235.85 0.0 0.0 1.0000 0.0000 0.5989 29.23 0.5000
72 1.1000 20.0 280 235.91 0.0 0.0 1.0000 0.0000 0.5986 26.38 0.5000
73 1.1000 25.0 280 236.01 0.0 0.0 1.0000 0.0000 0.5982 22.93 0.5000
74 1.1000 30.0 280 236.15 0.0 0.0 1.0000 0.0000 0.5976 19.01 0.5000
75 1.1000 35.0 280 236.39 0.0 0.0 1.0000 0.0000 0.5967 14.63 0.5000
76 1.1000 40.0 280 236.78 0.0 0.0 1.0000 0.0000 0.5955 9.89 0.5000
77 1.1000 45.0 280 237.34 0.0 0.0 1.0000 0.0000 0.5936 4.81 0.5000
78 1.1000 50.0 280 238.12 90.0 0.0 1.0000 0.0000 0.5912 0.58 0.5000
79 1.1000 55.0 280 239.19 90.0 0.0 1.0000 0.0000 0.5881 6.33 0.5000
80 1.1000 60.0 280 240.54 0.0 -90.0 1.0000 0.0000 0.5840 12.25 0.5000
81 1.1000 65.0 280 242.09 90.0 0.0 1.0000 0.0000 0.5800 18.04 0.5000
82 1.1000 70.0 280 243.70 90.0 0.0 1.0000 0.0000 0.5752 23.32 0.5000
83 1.1000 75.0 280 314.66 90.0 -90.0 0.0002 0.0000 0.2348 35.70 0.5000
84 1.1000 80.0 280 315.78 90.0 -90.0 0.0002 0.0000 0.2336 40.36 0.5000
85 1.1250 0.0 280 238.09 0.0 0.0 1.0000 0.0000 0.5964 34.27 0.5000
86 1.1250 5.0 280 238.09 0.0 0.0 1.0000 0.0000 0.5964 33.78 0.5000
