# Name of benchmark/experiment: FILLET Experiment 2 (cold start)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Ice line definition: latitude where annual-mean surface temperature crosses -10.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
42 1.15 20.0 280.0 245.89224535712776 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 155.48449071425557
43 1.175 20.0 280.0 247.58227118090218 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 158.8645423618044
44 1.2 20.0 280.0 249.27239081272015 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 162.24478162544034
45 1.225 20.0 280.0 250.9624227049348 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 165.62484540986966
46 1.25 20.0 280.0 252.65245459714944 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 169.0049091942989
47 1.275 20.0 280.0 335.1484521315629 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 333.9969042631258
48 1.3 20.0 280.0 338.4229756009519 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 340.5459512019039
49 1.325 20.0 280.0 341.69742941245636 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 347.0948588249127
50 1.35 20.0 280.0 344.9718738114017 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 353.6437476228035
51 1.375 20.0 280.0 348.2463651937693 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 360.1927303875387
52 1.4 20.0 280.0 351.5209227998031 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 366.74184559960617
53 1.425 20.0 280.0 354.7953723905073 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 373.29074478101467
54 1.45 20.0 280.0 358.0699004652089 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 379.8398009304179
55 1.475 20.0 280.0 361.3443305628608 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 386.3886611257216
56 1.5 20.0 280.0 364.61884533705944 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 392.937690674119
57 1.05 30.0 280.0 239.28987066563502 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.2797413312701
58 1.075 30.0 280.0 240.98373588613342 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 145.66747177226685
59 1.1 30.0 280.0 242.6775134582088 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 149.05502691641763
60 1.125 30.0 280.0 244.37138474670093 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 152.4427694934019
61 1.15 30.0 280.0 246.0651697974386 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 155.8303395948773
62 1.175 30.0 280.0 247.7589548481763 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.2179096963526
63 1.2 30.0 280.0 249.45283436031988 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 162.60566872063987
64 1.225 30.0 280.0 251.14662549310952 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 165.99325098621912
65 1.25 30.0 280.0 252.84041662589917 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 169.38083325179835
66 1.275 30.0 280.0 254.53429941856336 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 172.76859883712677
67 1.3 30.0 280.0 338.8017029415308 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 341.30340588306154
68 1.325 30.0 280.0 342.08347648105945 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 347.8669529621189
69 1.35 30.0 280.0 345.36522729572056 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 354.4304545914412
70 1.375 30.0 280.0 348.64704201389355 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 360.99408402778715
71 1.4 30.0 280.0 351.92881585512407 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 367.5576317102482
72 1.425 30.0 280.0 355.2105603717256 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 374.1211207434512
73 1.45 30.0 280.0 358.49230031731076 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 380.6846006346216
74 1.475 30.0 280.0 361.7741102683718 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 387.2482205367437
75 1.5 30.0 280.0 365.05582152323757 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 393.8116430464752
76 1.05 40.0 280.0 239.43116811321454 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.56233622642912
77 1.075 40.0 280.0 241.1283983506441 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 145.95679670128823
78 1.1 40.0 280.0 242.82554016608017 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 149.3510803321604
