# Name of benchmark/experiment: Experiment 3 (cold start)
 # Describe how ice line latitude is determined: The surface ice coverage corresponds to latitude bands in which the annually-averaged surface temperature is < 263.15 K.
 # Columns of data
 # Case = case number (0 -> total number of cases in experiment)
 # SEFF = effective stellar flux divided by value at Earth (1361 W/m^2)
 # Obl = obliquity (degrees)
 # XCO2 = CO2 mixing ratio (volume in ppm)
 # Tglob = global, annual mean surface temperature (K)
 #IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineNMin = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMin = latitude of northern edge of ice in northern hemisphere (deg)
 # Diff = thermal diffusion coefficient (W/m^2/K)
 # OLRglob = global, annual mean outgoing longwave radiation (W/m^2)

 # Case SEFF Obl XCO2 Tglob IceLineNMax IceLineNmin IceLineSMax IceLineSMin Diff OLRGlob
0  1.56250E+00  23.5 280.  387.986  90.0  90.0 -90.0 -90.0  0.50  286.670
1  1.51479E+00  23.5 280.  387.590  90.0  90.0 -90.0 -90.0  0.50  286.626
2  1.46924E+00  23.5 280.  387.086  90.0  90.0 -90.0 -90.0  0.50  286.566
3  1.42571E+00  23.5 280.  386.428  90.0  90.0 -90.0 -90.0  0.50  286.501
4  1.38408E+00  23.5 280.  385.640  90.0  90.0 -90.0 -90.0  0.50  286.417
5  1.34426E+00  23.5 280.  384.629  90.0  90.0 -90.0 -90.0  0.50  286.298
6  1.30612E+00  23.5 280.  383.378  90.0  90.0 -90.0 -90.0  0.50  286.132
7  1.26959E+00  23.5 280.  381.877  90.0  90.0 -90.0 -90.0  0.50  285.945
8  1.23457E+00  23.5 280.  379.959  90.0  90.0 -90.0 -90.0  0.50  285.696
9  1.20098E+00  23.5 280.  377.434  90.0  90.0 -90.0 -90.0  0.50  285.374
10 1.16924E+00  23.5 280.  374.219  90.0  90.0 -90.0 -90.0  0.50  284.942
11 1.13778E+00  23.5 280.  369.734  90.0  90.0 -90.0 -90.0  0.50  284.211
12 1.10570E+00  23.5 280.  363.322  90.0  90.0 -90.0 -90.0  0.50  282.811
13 1.07944E+00  23.5 280.  290.142  90.0  90.0 -90.0 -90.0  0.50  243.820
14 1.05194E+00  23.5 280.  287.971  90.0  90.0 -90.0 -90.0  0.50  240.574
15 1.02548E+00  23.5 280.  285.652  90.0  74.2 -74.2 -90.0  0.50  236.928
16 1.00000E+00  23.5 280.  283.317  90.0  67.6 -67.6 -90.0  0.50  233.125
17 9.75461E-01  23.5 280.  280.829  90.0  62.2 -62.2 -90.0  0.50  228.896
18 9.51814E-01  23.5 280.  278.148  90.0  57.2 -57.2 -90.0  0.50  224.118
19 9.29017E-01  23.5 280.  275.275  90.0  52.3 -52.3 -90.0  0.50  218.658
20 9.07030E-01  23.5 280.  272.030  90.0  47.2 -47.2 -90.0  0.50  212.445
21 8.85813E-01  23.5 280.  268.369  90.0  41.7 -41.7 -90.0  0.50  205.345
22 8.65333E-01  23.5 280.  263.209  90.0  34.2 -34.2 -90.0  0.50  195.147
23 8.41680E-01  23.5 280.  262.089  90.0  31.8 -31.6 -90.0  0.50  192.734
24 8.18984E-01  23.5 280.  219.444  90.0   0.0   0.0 -90.0  0.50  113.281
25 7.90123E-01  23.5 280.  217.862  90.0   0.0   0.0 -90.0  0.50  108.909
26 7.72853E-01  23.5 280.  216.305  90.0   0.0   0.0 -90.0  0.50  106.190
27 7.56144E-01  23.5 280.  214.803  90.0   0.0   0.0 -90.0  0.50  103.596
28 7.39970E-01  23.5 280.  213.354  90.0   0.0   0.0 -90.0  0.50  101.124
29 7.24310E-01  23.5 280.  211.959  90.0   0.0   0.0 -90.0  0.50   98.768
30 7.09141E-01  23.5 280.  210.605  90.0   0.0   0.0 -90.0  0.50   96.508
31 6.94444E-01  23.5 280.  209.295  90.0   0.0   0.0 -90.0  0.50   94.337
32 6.80200E-01  23.5 280.  208.018  90.0   0.0   0.0 -90.0  0.50   92.247
33 6.66389E-01  23.5 280.  206.780  90.0   0.0   0.0 -90.0  0.50   90.232
34 6.52995E-01  23.5 280.  205.570  90.0   0.0   0.0 -90.0  0.50   88.286
35 6.40000E-01  23.5 280.  204.388  90.0   0.0   0.0 -90.0  0.50   86.404
36 6.27389E-01  23.5 280.  203.224  90.0   0.0   0.0 -90.0  0.50   84.581
37 6.15148E-01  23.5 280.  202.086  90.0   0.0   0.0 -90.0  0.50   82.813
38 6.03261E-01  23.5 280.  200.970  90.0   0.0   0.0 -90.0  0.50   81.102
39 5.91716E-01  23.5 280.  199.878  90.0   0.0   0.0 -90.0  0.50   79.445
40 5.80499E-01  23.5 280.  198.811  90.0   0.0   0.0 -90.0  0.50   77.839
41 5.69598E-01  23.5 280.  197.765  90.0   0.0   0.0 -90.0  0.50   76.282
