# Use this header for notes and global details
#  Name of benchmark/experiment: Benchmark 1                                                                                         
#                   Case number:          0
#        Instellation (S_earth):       1.0000
#                    XCO2 (ppm):     280.0000
#           Obliquity (degrees):      23.4500
# Additional Information
#          Orbital eccentricity:       0.0167
# Longitude of perihelion passag     -77.0000
# Cloud modification by cloud (W      -1.1719
#                   Land albedo:       0.1000
#               Ice/snow albedo:       0.6560
#                Cloud coverage:       0.4282
# Ocean albedo varies with cosZA
# Cloud albedo varies with cosZA

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)
# Foc = Ocean fraction

#          Lat       Tsurf       Asurf        ATOA         OLR         Foc
          6.00      300.54      0.2522      0.2159      253.90      0.7678
          7.00      300.38      0.2530      0.2167      253.74      0.7580
          8.00      300.20      0.2540      0.2176      253.56      0.7484
          9.00      299.99      0.2546      0.2184      253.36      0.7494
         10.00      299.77      0.2551      0.2191      253.14      0.7568
         11.00      299.53      0.2556      0.2199      252.89      0.7684
         12.00      299.26      0.2562      0.2208      252.63      0.7780
         13.00      298.97      0.2575      0.2221      252.33      0.7693
         14.00      298.67      0.2591      0.2238      252.02      0.7522
         15.00      298.34      0.2606      0.2253      251.68      0.7411
         16.00      298.00      0.2622      0.2269      251.32      0.7322
         17.00      297.63      0.2641      0.2288      250.93      0.7136
         18.00      297.24      0.2660      0.2308      250.52      0.6952
         19.00      296.84      0.2676      0.2326      250.08      0.6898
         20.00      296.42      0.2694      0.2346      249.61      0.6828
         21.00      295.98      0.2714      0.2367      249.12      0.6681
         22.00      295.52      0.2737      0.2391      248.61      0.6474
         23.00      295.04      0.2757      0.2413      248.06      0.6376
         24.00      294.55      0.2776      0.2435      247.49      0.6353
         25.00      294.03      0.2796      0.2458      246.89      0.6299
         26.00      293.51      0.2821      0.2485      246.27      0.6118
         27.00      292.96      0.2844      0.2511      245.61      0.5995
         28.00      292.40      0.2867      0.2537      244.93      0.5902
         29.00      291.83      0.2890      0.2564      244.22      0.5844
         30.00      291.23      0.2916      0.2592      243.48      0.5683
         31.00      290.63      0.2941      0.2620      242.71      0.5617
         32.00      290.01      0.2960      0.2646      241.91      0.5761
         33.00      289.38      0.2981      0.2672      241.08      0.5899
         34.00      288.73      0.3005      0.2701      240.22      0.5928
         35.00      288.07      0.3035      0.2761      239.33      0.5771
         36.00      287.39      0.3060      0.2834      238.41      0.5806
         37.00      286.71      0.3088      0.2909      237.47      0.5777
         38.00      286.02      0.3116      0.2985      236.49      0.5795
