# Name of benchmark/experiment: FILLET Experiment 2a (cold start, au)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Ice line definition: latitude where annual-mean surface temperature crosses -10.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
39 1.2009757928316758 20.0 280.0 249.33835565294922 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 162.37671130589845
40 1.168736303871439 20.0 280.0 247.1588388525204 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 158.01767770504085
41 1.1377777777777778 20.0 280.0 245.0660105099492 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.8320210198984
42 1.10803324099723 20.0 280.0 243.05516119988707 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 149.81032239977415
43 1.0794400404790014 20.0 280.0 241.1222398438931 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 145.94447968778624
44 1.0519395134779752 20.0 280.0 239.26309652433736 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.22619304867473
45 1.5624999999999996 30.0 280.0 373.2603060062098 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 410.2206120124197
46 1.5147928994082842 30.0 280.0 366.99771396104217 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 397.6954279220843
47 1.4692378328741966 30.0 280.0 361.01769394734583 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 385.7353878946918
48 1.4257072844731566 30.0 280.0 355.30340886895624 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 374.30681773791264
49 1.384083044982699 30.0 280.0 349.8393305573123 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 363.3786611146247
50 1.3442554085276202 30.0 280.0 344.6111767832585 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 352.9223535665171
51 1.306122448979592 30.0 280.0 339.6053572147481 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 342.9107144294963
52 1.2695893671890497 30.0 280.0 254.16771907295026 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 172.0354381459006
53 1.2345679012345678 30.0 280.0 251.79486654393025 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 167.28973308786055
54 1.2009757928316758 30.0 280.0 249.5189459301492 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 162.73789186029836
55 1.168736303871439 30.0 280.0 247.33458065357945 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 158.36916130715898
56 1.1377777777777778 30.0 280.0 245.23709710596685 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 154.1741942119338
57 1.10803324099723 30.0 280.0 243.22177439549617 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 150.14354879099236
58 1.0794400404790014 30.0 280.0 241.284553525431 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.269107050862
59 1.0519395134779752 30.0 280.0 239.42127412939573 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.5425482587915
60 1.5624999999999996 40.0 280.0 373.6676670374793 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 411.03533407495877
61 1.5147928994082842 40.0 280.0 367.39270693931746 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 398.48541387863486
62 1.4692378328741966 40.0 280.0 361.40078958029744 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 386.50157916059493
63 1.4257072844731566 40.0 280.0 355.6751344835641 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 375.0502689671282
64 1.384083044982699 40.0 280.0 350.2002049556017 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 364.1004099112035
65 1.3442554085276202 40.0 280.0 344.96161323765364 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 353.6232264753073
66 1.306122448979592 40.0 280.0 256.81866918829184 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 177.3373383765838
67 1.2695893671890497 40.0 280.0 254.33856925932386 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 172.37713851864777
68 1.2345679012345678 40.0 280.0 251.9610033597854 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 167.62200671957086
69 1.2009757928316758 40.0 280.0 249.6805622284027 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.0611244568055
70 1.168736303871439 40.0 280.0 247.4918578878587 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 158.68371577571753
71 1.1377777777777778 40.0 280.0 245.39020824106254 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 154.48041648212512
72 1.10803324099723 40.0 280.0 243.37088213447515 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 150.44176426895035
73 1.0794400404790014 40.0 280.0 241.42981348500976 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.55962697001956
74 1.0519395134779752 40.0 280.0 239.56283257536 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.82566515072003
75 1.5624999999999996 50.0 280.0 374.0191604575086 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 411.7383209150172
76 1.5147928994082842 50.0 280.0 367.73336843240116 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 399.1667368648024
77 1.4692378328741966 50.0 280.0 361.73127415258836 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 387.16254830517676
78 1.4257072844731566 50.0 280.0 355.99575680608945 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 375.6915136121789
79 1.384083044982699 50.0 280.0 350.5115475890235 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 364.72309517804695
80 1.3442554085276202 50.0 280.0 259.56342932083174 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 182.8268586416636
81 1.306122448979592 50.0 280.0 256.9702926961892 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 177.6405853923784
82 1.2695893671890497 50.0 280.0 254.48595176055315 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 172.67190352110634
83 1.2345679012345678 50.0 280.0 252.10431991089177 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 167.90863982178357
84 1.2009757928316758 50.0 280.0 249.81997919236133 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.3399583847227
85 1.168736303871439 50.0 280.0 247.62753179414113 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 158.9550635882823
86 1.1377777777777778 50.0 280.0 245.5222882963163 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 154.74457659263265
87 1.10803324099723 50.0 280.0 243.49959857059704 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 150.69919714119416
88 1.0794400404790014 50.0 280.0 241.555120788592 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.81024157718406
89 1.0519395134779752 50.0 280.0 239.68503660421277 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.07007320842555
90 1.5624999999999996 60.0 280.0 374.30460889295193 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 412.309217785904
91 1.5147928994082842 60.0 280.0 368.0102024239987 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 399.72040484799726
92 1.4692378328741966 60.0 280.0 361.9997088014801 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 387.6994176029603
93 1.4257072844731566 60.0 280.0 356.25630261762547 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 376.21260523525103
94 1.384083044982699 60.0 280.0 350.76445277618143 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 365.22890555236285
95 1.3442554085276202 60.0 280.0 345.50962872470996 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 354.7192574494199
96 1.306122448979592 60.0 280.0 340.478426989747 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 344.6568539794941
97 1.2695893671890497 60.0 280.0 254.6056886226372 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 172.91137724527445
98 1.2345679012345678 60.0 280.0 252.22075350355755 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 168.1415070071152
99 1.2009757928316758 60.0 280.0 249.9332446726352 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.56648934527047
100 1.168736303871439 60.0 280.0 247.73775633008987 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.17551266017978
101 1.1377777777777778 60.0 280.0 245.62959310677945 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 154.959186213559
102 1.10803324099723 60.0 280.0 243.6040981479612 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 150.90819629592244
103 1.0794400404790014 60.0 280.0 241.6569232631195 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 147.01384652623898
104 1.0519395134779752 60.0 280.0 239.78424549170018 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.26849098340037
105 1.5624999999999996 70.0 280.0 374.51502089040184 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 412.7300417808037
106 1.5147928994082842 70.0 280.0 368.2142013764118 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 400.1284027528236
107 1.4692378328741966 70.0 280.0 362.19751617327347 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 388.09503234654704
108 1.4257072844731566 70.0 280.0 356.4482789875458 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 376.5965579750916
109 1.384083044982699 70.0 280.0 350.9507945026953 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 365.60158900539057
110 1.3442554085276202 70.0 280.0 345.6906382044439 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 355.08127640888785
111 1.306122448979592 70.0 280.0 340.6542394475161 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 345.0084788950323
112 1.2695893671890497 70.0 280.0 335.829167961685 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 335.35833592337013
113 1.2345679012345678 70.0 280.0 331.20373308135225 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 326.10746616270444
114 1.2009757928316758 70.0 280.0 250.0167029024747 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.73340580494943
115 1.168736303871439 70.0 280.0 247.81897387874568 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.33794775749143
116 1.1377777777777778 70.0 280.0 245.70865929281314 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 155.11731858562632
117 1.10803324099723 70.0 280.0 243.68109733363283 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 151.06219466726574
118 1.0794400404790014 70.0 280.0 241.7319351228389 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 147.16387024567788
119 1.0519395134779752 70.0 280.0 239.85734629976665 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.41469259953334
120 1.5624999999999996 80.0 280.0 374.64299156010105 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 412.98598312020215
121 1.5147928994082842 80.0 280.0 368.3381898158769 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 400.3763796317539
122 1.4692378328741966 80.0 280.0 362.317863717342 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 388.33572743468403
123 1.4257072844731566 80.0 280.0 356.56498735928255 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 376.82997471856515
124 1.384083044982699 80.0 280.0 351.06411677951314 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 365.82823355902633
125 1.3442554085276202 80.0 280.0 345.8007374916361 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 355.3014749832722
126 1.306122448979592 80.0 280.0 340.7611900926919 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 345.2223801853839
127 1.2695893671890497 80.0 280.0 335.9331727443521 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 335.56634548870426
128 1.2345679012345678 80.0 280.0 331.30487651012584 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 326.30975302025166
129 1.2009757928316758 80.0 280.0 326.865421152757 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 317.4308423055141
130 1.168736303871439 80.0 280.0 247.86836999259418 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.43673998518838
131 1.1377777777777778 80.0 280.0 245.75674695849034 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 155.2134939169807
132 1.10803324099723 80.0 280.0 243.72792785985067 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 151.15585571970138
133 1.0794400404790014 80.0 280.0 241.77755696718214 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 147.25511393436435
134 1.0519395134779752 80.0 280.0 239.90180585188878 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.50361170377758
135 1.5624999999999996 90.0 280.0 374.6876065119152 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 413.07521302383043
136 1.5147928994082842 90.0 280.0 368.3814434644705 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 400.46288692894103
137 1.4692378328741966 90.0 280.0 362.35982221090154 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 388.41964442180324
138 1.4257072844731566 90.0 280.0 356.60570691392866 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 376.9114138278575
139 1.384083044982699 90.0 280.0 351.10365831648653 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 365.90731663297305
140 1.3442554085276202 90.0 280.0 345.8390578477085 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 355.378115695417
141 1.306122448979592 90.0 280.0 340.79852151619986 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 345.2970430323998
142 1.2695893671890497 90.0 280.0 335.96940540213683 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 335.6388108042736
143 1.2345679012345678 90.0 280.0 331.340077222866 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 326.38015444573205
144 1.2009757928316758 90.0 280.0 326.8997165304243 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 317.49943306084873
145 1.168736303871439 90.0 280.0 247.88559124981379 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.47118249962762
146 1.1377777777777778 90.0 280.0 245.7735120437409 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 155.24702408748186
147 1.10803324099723 90.0 280.0 243.74425466118976 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 151.18850932237956
148 1.0794400404790014 90.0 280.0 241.79346237866264 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 147.28692475732535
149 1.0519395134779752 90.0 280.0 239.91730604660737 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.5346120932148
