# Name of benchmark/experiment: FILLET Experiment 1 (warm start)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Ice line definition: latitude where annual-mean surface temperature crosses -10.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
39 0.825 20.0 280.0 223.92232754243884 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 111.5446550848777
40 0.85 20.0 280.0 225.61238295510628 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 114.92476591021259
41 0.875 20.0 280.0 271.23723376300177 90.0 45.06148396663785 90.0 45.06148396663785 -45.06148396663785 -90.0 -45.06148396663785 -90.0 0.5 206.1744675260036
42 0.9 20.0 280.0 279.65754905410677 90.0 57.425982177408926 90.0 57.425982177408926 -57.425982177408926 -90.0 -57.425982177408926 -90.0 0.5 223.0150981082136
43 0.925 20.0 280.0 286.16740603418856 90.0 65.52088340444688 90.0 65.52088340444688 -65.52088340444688 -90.0 -65.52088340444688 -90.0 0.5 236.03481206837722
44 0.95 20.0 280.0 290.9648920465277 90.0 77.83045665700186 90.0 77.83045665700186 -77.83045665700186 -90.0 -77.83045665700186 -90.0 0.5 245.6297840930555
45 0.975 20.0 280.0 295.26737618059246 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 254.2347523611849
46 1.0 20.0 280.0 299.1299231013657 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 261.95984620273146
47 1.025 20.0 280.0 302.40439604208325 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 268.5087920841665
48 1.05 20.0 280.0 305.67811056669717 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 275.0562211333944
49 1.075 20.0 280.0 308.9525089643942 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 281.6050179287885
50 1.1 20.0 280.0 312.2270724320405 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 288.154144864081
51 1.125 20.0 280.0 315.5015179394007 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 294.7030358788015
52 1.15 20.0 280.0 318.77599324046173 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 301.2519864809236
53 1.175 20.0 280.0 322.050488689195 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 307.8009773783901
54 1.2 20.0 280.0 325.3249972032588 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 314.3499944065178
55 1.225 20.0 280.0 328.5995136428783 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 320.89902728575674
56 1.25 20.0 280.0 331.87395043404416 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 327.4479008680885
57 0.8 30.0 280.0 222.35257881058578 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 108.40515762117164
58 0.825 30.0 280.0 224.0464230389194 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 111.79284607783882
59 0.85 30.0 280.0 225.7402201190141 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 115.18044023802827
60 0.875 30.0 280.0 227.43404604917913 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 118.5680920983583
61 0.9 30.0 280.0 280.95888204098725 90.0 62.578228140751904 90.0 62.578228140751904 -62.578228140751904 -90.0 -62.578228140751904 -90.0 0.5 225.6177640819746
62 0.925 30.0 280.0 289.5759449593178 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 242.85188991863555
63 0.95 30.0 280.0 292.85777425417785 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 249.41554850835567
64 0.975 30.0 280.0 296.13955921153104 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 255.97911842306212
65 1.0 30.0 280.0 299.4213251570649 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 262.5426503141299
66 1.025 30.0 280.0 302.70292012124753 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 269.10584024249505
67 1.05 30.0 280.0 305.9839767226505 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 275.66795344530107
68 1.075 30.0 280.0 309.26577330574 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 282.23154661148016
69 1.1 30.0 280.0 312.54753853911785 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 288.79507707823575
70 1.125 30.0 280.0 315.82927008017145 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 295.35854016034295
71 1.15 30.0 280.0 319.1110310175916 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 301.9220620351832
72 1.175 30.0 280.0 322.3928117703938 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 308.4856235407876
73 1.2 30.0 280.0 325.6746053108438 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 315.0492106216876
74 1.225 30.0 280.0 328.95640654496685 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 321.61281308993375
75 1.25 30.0 280.0 332.23812686474673 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 328.1762537294935
76 0.8 40.0 280.0 222.46027873445314 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 108.62055746890627
77 0.825 40.0 280.0 224.15740260490767 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 112.01480520981539
78 0.85 40.0 280.0 279.95230632769926 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 223.60461265539865
79 0.875 40.0 280.0 283.2406209725395 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 230.18124194507897
80 0.9 40.0 280.0 286.52883323994695 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 236.75766647989383
81 0.925 40.0 280.0 289.81720677082774 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 243.3344135416556
82 0.95 40.0 280.0 293.10546159779324 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 249.9109231955866
83 0.975 40.0 280.0 296.3937588740011 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 256.4875177480023
84 1.0 40.0 280.0 299.6820277461594 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 263.06405549231886
85 1.025 40.0 280.0 302.9700553245358 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 269.64011064907163
86 1.05 40.0 280.0 306.25779512465874 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 276.21559024931753
87 1.075 40.0 280.0 309.54604472846347 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 282.79208945692704
88 1.1 40.0 280.0 312.8343344106725 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 289.36866882134507
89 1.125 40.0 280.0 316.1225864677367 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 295.9451729354736
90 1.15 40.0 280.0 319.41086756558025 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 302.52173513116065
91 1.175 40.0 280.0 322.6991681814287 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 309.0983363628575
92 1.2 40.0 280.0 325.9874813364177 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 315.6749626728355
93 1.225 40.0 280.0 329.27580197756066 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 322.25160395512125
94 1.25 40.0 280.0 332.5640405714751 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 328.8280811429502
95 0.8 50.0 280.0 273.5556798109285 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 210.81135962185698
96 0.825 50.0 280.0 276.84954134015277 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 217.39908268030567
97 0.85 50.0 280.0 280.1434854359966 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 223.9869708719932
98 0.875 50.0 280.0 283.4374221195583 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 230.57484423911657
99 0.9 50.0 280.0 286.7313463490656 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 237.16269269813125
100 0.925 50.0 280.0 290.0252511581233 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 243.75050231624664
101 0.95 50.0 280.0 293.31912703766665 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 250.3382540753333
102 0.975 50.0 280.0 296.61304211190725 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 256.9260842238145
103 1.0 50.0 280.0 299.90692067996196 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 263.5138413599239
104 1.025 50.0 280.0 303.200372315692 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 270.10074463138403
105 1.05 50.0 280.0 306.4939327051514 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 276.6878654103029
106 1.075 50.0 280.0 309.7878185548728 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 283.2756371097457
107 1.1 50.0 280.0 313.08173649894695 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 289.86347299789395
108 1.125 50.0 280.0 316.37561342525834 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 296.4512268505168
109 1.15 50.0 280.0 319.6696088501031 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 303.0392177002063
110 1.175 50.0 280.0 322.9634440074254 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 309.62688801485086
111 1.2 50.0 280.0 326.2573812540139 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 316.21476250802783
112 1.225 50.0 280.0 329.55132580774153 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 322.8026516154831
113 1.25 50.0 280.0 332.8451873369658 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 329.3903746739316
114 0.8 60.0 280.0 273.7018621865204 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 211.10372437304076
