# Name of benchmark/experiment: Benchmark 3
# Case number: 0 
# Instellation (S_earth): 1
# XCO2 (ppm): 280
# Obliquity (degrees): 23.5

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)
# fice = annually averaged ice fraction
# fclo = annually averaged cloud fraction
# Diff = annually averaged meridional diffusion coefficient (W m^-2 K^-1)


# Lat Tsurf Asurf ATOA OLR fice fclo Diff
-88.5 286.65 0.2506 0.3498 229.94 0.0094 0.6776 0.5000
-85.5 286.56 0.2492 0.3494 229.82 0.0095 0.6776 0.5000
-82.5 286.38 0.2591 0.3637 229.58 0.0098 0.6776 0.5000
-79.5 286.11 0.2561 0.3626 229.22 0.0103 0.6776 0.5000
-76.5 285.76 0.2647 0.3750 228.76 0.0109 0.6776 0.5000
-73.5 285.34 0.2610 0.3734 228.19 0.0117 0.6775 0.5000
-70.5 284.86 0.2690 0.3846 227.51 0.0127 0.6775 0.5000
-67.5 284.32 0.2649 0.3823 226.75 0.0139 0.6775 0.5000
-64.5 283.74 0.2629 0.3813 225.92 0.0154 0.6775 0.5000
-61.5 283.12 0.2682 0.3896 224.99 0.0171 0.6775 0.5000
-58.5 282.49 0.2661 0.3881 224.01 0.0192 0.6774 0.5000
-55.5 281.84 0.2711 0.3954 222.98 0.0215 0.6774 0.5000
-52.5 281.20 0.2689 0.3934 221.91 0.0240 0.6773 0.5000
-49.5 280.57 0.2734 0.3995 220.83 0.0269 0.6772 0.5000
-46.5 279.96 0.2789 0.4061 219.75 0.0300 0.6771 0.5000
-43.5 279.38 0.2752 0.4023 218.69 0.0333 0.6770 0.5000
-40.5 278.84 0.2797 0.4075 217.67 0.0368 0.6769 0.5000
-37.5 278.35 0.2767 0.4039 216.72 0.0403 0.6767 0.5000
-34.5 277.91 0.2799 0.4077 215.85 0.0437 0.6766 0.5000
-31.5 277.52 0.2824 0.4106 215.05 0.0470 0.6765 0.5000
-28.5 277.18 0.2856 0.4153 214.34 0.0500 0.6763 0.5000
-25.5 276.90 0.2804 0.4097 213.72 0.0527 0.6762 0.5000
-22.5 276.66 0.2767 0.4051 213.19 0.0551 0.6761 0.5000
-19.5 276.46 0.2739 0.4011 212.73 0.0573 0.6760 0.5000
-16.5 276.29 0.2718 0.3978 212.34 0.0591 0.6759 0.5000
-13.5 276.16 0.2702 0.3950 212.02 0.0606 0.6758 0.5000
-10.5 276.06 0.2689 0.3927 211.77 0.0617 0.6758 0.5000
-7.5 275.98 0.2680 0.3910 211.59 0.0626 0.6757 0.5000
-4.5 275.94 0.2675 0.3899 211.46 0.0632 0.6757 0.5000
-1.5 275.91 0.2672 0.3893 211.40 0.0635 0.6757 0.5000
1.5 275.91 0.2672 0.3893 211.40 0.0635 0.6757 0.5000
4.5 275.94 0.2675 0.3899 211.46 0.0632 0.6757 0.5000
7.5 275.98 0.2680 0.3910 211.59 0.0626 0.6757 0.5000
10.5 276.06 0.2689 0.3927 211.77 0.0617 0.6758 0.5000
13.5 276.16 0.2702 0.3950 212.02 0.0606 0.6758 0.5000
16.5 276.29 0.2718 0.3978 212.34 0.0591 0.6759 0.5000
19.5 276.46 0.2739 0.4011 212.73 0.0573 0.6760 0.5000
22.5 276.66 0.2767 0.4051 213.19 0.0551 0.6761 0.5000
25.5 276.90 0.2804 0.4097 213.72 0.0527 0.6762 0.5000
28.5 277.18 0.2856 0.4153 214.34 0.0500 0.6763 0.5000
31.5 277.52 0.2824 0.4106 215.05 0.0470 0.6765 0.5000
34.5 277.91 0.2799 0.4077 215.85 0.0437 0.6766 0.5000
37.5 278.35 0.2767 0.4039 216.72 0.0403 0.6767 0.5000
40.5 278.84 0.2797 0.4075 217.67 0.0368 0.6769 0.5000
43.5 279.38 0.2752 0.4023 218.69 0.0333 0.6770 0.5000
46.5 279.96 0.2789 0.4061 219.75 0.0300 0.6771 0.5000
49.5 280.57 0.2734 0.3995 220.83 0.0269 0.6772 0.5000
52.5 281.20 0.2689 0.3934 221.91 0.0240 0.6773 0.5000
55.5 281.84 0.2711 0.3954 222.98 0.0215 0.6774 0.5000
58.5 282.49 0.2661 0.3881 224.01 0.0192 0.6774 0.5000
61.5 283.12 0.2682 0.3896 224.99 0.0171 0.6775 0.5000
64.5 283.74 0.2629 0.3813 225.92 0.0154 0.6775 0.5000
67.5 284.32 0.2649 0.3823 226.75 0.0139 0.6775 0.5000
70.5 284.86 0.2690 0.3846 227.51 0.0127 0.6775 0.5000
73.5 285.34 0.2610 0.3734 228.19 0.0117 0.6775 0.5000
76.5 285.76 0.2647 0.3750 228.76 0.0109 0.6776 0.5000
79.5 286.11 0.2561 0.3626 229.22 0.0103 0.6776 0.5000
82.5 286.38 0.2591 0.3637 229.58 0.0098 0.6776 0.5000
85.5 286.56 0.2492 0.3494 229.82 0.0095 0.6776 0.5000
88.5 286.65 0.2506 0.3498 229.94 0.0094 0.6776 0.5000
