# Name of benchmark/experiment: Experiment 1
# Describe how ice line latitude is determined: where temperature falls below freezing in annual average
# Note that Tglob = 450. means the case is in runaway greenhouse: ESTM output is not reliable

# Columns of data
# Case = case number (total: 289)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineN = latitude of ice line in northern hemisphere (deg)
# IceLineS = latitude of ice line in southern hemisphere (deg)
# fice = annually averaged ice fraction
# fclo = annually averaged cloud fraction
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# dTep = average difference between the temperatures at Equator and North Pole (K)
# diff = average diffusion coefficient (W m^-2 K^-1)

# Case Inst Obl XCO2 Tglob IceLineN IceLineS fice fclo ATOA dTep diff
56 0.8750 25.0 280 216.78 0.0 0.0 1.0000 0.0000 0.6136 17.86 0.5000
57 0.8750 30.0 280 216.81 0.0 0.0 1.0000 0.0000 0.6136 14.98 0.5000
58 0.8750 35.0 280 216.85 0.0 0.0 1.0000 0.0000 0.6136 11.86 0.5000
59 0.8750 40.0 280 216.92 0.0 0.0 1.0000 0.0000 0.6137 8.56 0.5000
60 0.8750 45.0 280 217.03 0.0 0.0 1.0000 0.0000 0.6133 5.18 0.5000
61 0.8750 50.0 280 217.18 0.0 0.0 1.0000 0.0000 0.6130 1.81 0.5000
62 0.8750 55.0 280 217.36 0.0 -90.0 1.0000 0.0000 0.6126 1.50 0.5000
63 0.8750 60.0 280 217.59 0.0 -90.0 1.0000 0.0000 0.6117 4.65 0.5000
64 0.8750 65.0 280 217.84 90.0 0.0 1.0000 0.0000 0.6113 7.54 0.5000
65 0.8750 70.0 280 218.10 90.0 0.0 1.0000 0.0000 0.6102 10.09 0.5000
66 0.8750 75.0 280 218.34 90.0 0.0 1.0000 0.0000 0.6095 12.20 0.5000
67 0.8750 80.0 280 218.55 90.0 0.0 1.0000 0.0000 0.6085 13.78 0.5000
68 0.9000 0.0 280 218.87 0.0 0.0 1.0000 0.0000 0.6119 26.21 0.5000
69 0.9000 5.0 280 218.87 0.0 0.0 1.0000 0.0000 0.6119 25.85 0.5000
70 0.9000 10.0 280 218.85 0.0 0.0 1.0000 0.0000 0.6121 24.80 0.5000
71 0.9000 15.0 280 218.83 0.0 0.0 1.0000 0.0000 0.6123 23.17 0.5000
72 0.9000 20.0 280 218.82 0.0 0.0 1.0000 0.0000 0.6124 21.00 0.5000
73 0.9000 25.0 280 218.83 0.0 0.0 1.0000 0.0000 0.6124 18.37 0.5000
74 0.9000 30.0 280 218.87 0.0 0.0 1.0000 0.0000 0.6124 15.38 0.5000
75 0.9000 35.0 280 218.91 0.0 0.0 1.0000 0.0000 0.6124 12.15 0.5000
76 0.9000 40.0 280 219.00 0.0 0.0 1.0000 0.0000 0.6124 8.72 0.5000
77 0.9000 45.0 280 219.14 0.0 0.0 1.0000 0.0000 0.6120 5.21 0.5000
78 0.9000 50.0 280 219.31 0.0 0.0 1.0000 0.0000 0.6115 1.68 0.5000
79 0.9000 55.0 280 219.54 0.0 -90.0 1.0000 0.0000 0.6110 1.79 0.5000
80 0.9000 60.0 280 219.80 0.0 -90.0 1.0000 0.0000 0.6100 5.09 0.5000
81 0.9000 65.0 280 220.10 0.0 -90.0 1.0000 0.0000 0.6094 8.14 0.5000
