 #Name of benchmark/experiment: Experiment 4 (warm start)
 # Describe how ice line latitude is determined: The surface ice coverage corresponds to latitude bands in which the annually-averaged surface temperature is < 263.15 K.
 # Columns of data
 # Case = case number (0 -> total number of cases in experiment)
 # SEFF = effective stellar flux divided by value at Earth (1361 W/m^2)
 # Obl = obliquity (degrees)
 # XCO2 = CO2 mixing ratio (volume in ppm)
 # Tglob = global, annual mean surface temperature (K)
 #IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineNMin = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMin = latitude of northern edge of ice in northern hemisphere (deg)
 # Diff = thermal diffusion coefficient (W/m^2/K)
 # OLRglob = global, annual mean outgoing longwave radiation (W/m^2)

 # Case SEFF Obl XCO2 Tglob IceLineNMax IceLineNmin IceLineSMax IceLineSMin Diff OLRGlob
0  1.00000E+00  23.5    1.00000E+00  272.109  90.0  47.2 -47.2 -90.0  0.50  236.211
1  1.00000E+00  23.5    1.25893E+00  272.474  90.0  47.7 -47.7 -90.0  0.50  236.034
2  1.00000E+00  23.5    1.58489E+00  272.828  90.0  48.1 -48.1 -90.0  0.50  235.829
3  1.00000E+00  23.5    1.99526E+00  273.195  90.0  48.6 -48.6 -90.0  0.50  235.646
4  1.00000E+00  23.5    2.51189E+00  273.564  90.0  49.1 -49.1 -90.0  0.50  235.468
5  1.00000E+00  23.5    3.16228E+00  273.952  90.0  49.6 -49.6 -90.0  0.50  235.327
6  1.00000E+00  23.5    3.98107E+00  274.337  90.0  50.2 -50.2 -90.0  0.50  235.174
7  1.00000E+00  23.5    5.01187E+00  274.684  90.0  50.7 -50.7 -90.0  0.50  234.946
8  1.00000E+00  23.5    6.30957E+00  275.021  90.0  51.1 -51.1 -90.0  0.50  234.705
9  1.00000E+00  23.5    7.94328E+00  275.389  90.0  51.5 -51.7 -90.0  0.50  234.513
10 1.00000E+00  23.5    1.00000E+01  275.814  90.0  52.3 -52.3 -90.0  0.50  234.430
