 # Name of benchmark/experiment: Benchmark 2
 # Case number: 0
 # Instellation (S_earth): 1
 # XCO2 (ppm): 280
 # Obliquity (degrees): 23.5
 # Columns of data (annually averaged for last orbit)
 # Lat = latitude (degrees)
 # Tsurf = annually averaged surface temperature (K)
 # Asurf = annually averaged surface albedo
 # ATOA = annually averaged top-of-atmosphere/total/planetary albedo
 # OLR = annually averaged outgoing longwave radiation (W m^-2)
 
 # Lat(deg) Tsurf(k) Asurf ATOA OLR(W/m^{2})
-88.0  260.56  0.5415  0.5660  189.19
-82.0  260.98  0.5358  0.5506  190.05
-77.0  262.22  0.5225  0.5279  192.57
-72.0  264.19  0.4968  0.4956  196.62
-68.0  266.80  0.2612  0.3340  202.07
-62.0  269.57  0.2520  0.2918  207.83
-58.0  272.40  0.2905  0.2967  213.68
-52.0  275.27  0.3204  0.3074  219.56
-47.0  278.15  0.3434  0.3196  225.45
-43.0  281.02  0.3481  0.3165  230.91
-37.0  283.78  0.3583  0.3159  235.75
-32.0  286.36  0.3698  0.3167  240.17
-28.0  288.69  0.3814  0.3180  244.17
-23.0  290.72  0.3923  0.3195  247.26
-18.0  292.41  0.4005  0.3200  249.32
-13.0  293.72  0.4072  0.3204  250.87
 -7.0  294.60  0.4126  0.3212  251.94
 -2.0  295.05  0.4152  0.3215  252.48
  2.0  295.06  0.4152  0.3215  252.49
  7.0  294.61  0.4127  0.3212  251.95
 12.0  293.73  0.4073  0.3204  250.88
 17.0  292.42  0.4006  0.3200  249.33
 23.0  290.73  0.3924  0.3196  247.28
 28.0  288.70  0.3816  0.3181  244.20
 32.0  286.38  0.3701  0.3167  240.21
 38.0  283.81  0.3585  0.3160  235.79
 42.0  281.05  0.3484  0.3165  230.97
 47.0  278.19  0.3437  0.3191  225.51
 52.0  275.30  0.3214  0.3076  219.63
 58.0  272.44  0.2914  0.2969  213.76
 63.0  269.62  0.2524  0.2918  207.92
 68.0  266.86  0.2616  0.3340  202.18
 72.0  264.24  0.4963  0.4954  196.73
 78.0  262.27  0.5222  0.5278  192.68
 82.0  261.04  0.5355  0.5504  190.16
 88.0  260.62  0.5413  0.5659  189.31
