# Use this header for notes and global details
#  Name of benchmark/experiment: Benchmark 2/tuned                                                                                   
#                   Case number:          1
#        Instellation (S_earth):       1.0000
#                    XCO2 (ppm):     280.0000
#           Obliquity (degrees):      23.5000
# Additional Information
#          Orbital eccentricity:       0.0000
# Longitude of perihelion passag       0.0000
# Cloud modification by cloud (W      -1.1719
#                   Land albedo:       0.1000
#               Ice/snow albedo:       0.6560
#                Cloud coverage:       0.4282
# Ocean albedo varies with cosZA
# Cloud albedo varies with cosZA

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)
# Foc = Ocean fraction

#          Lat       Tsurf       Asurf        ATOA         OLR         Foc
          5.00      300.99      0.2524      0.2152      254.33      0.7500
          6.00      300.90      0.2528      0.2157      254.24      0.7500
          7.00      300.78      0.2533      0.2162      254.13      0.7500
          8.00      300.64      0.2539      0.2168      253.99      0.7500
          9.00      300.48      0.2545      0.2175      253.84      0.7500
         10.00      300.30      0.2552      0.2183      253.66      0.7500
         11.00      300.10      0.2560      0.2192      253.46      0.7500
         12.00      299.88      0.2569      0.2202      253.24      0.7500
         13.00      299.64      0.2578      0.2212      253.00      0.7500
         14.00      299.37      0.2588      0.2224      252.74      0.7500
         15.00      299.09      0.2599      0.2236      252.45      0.7500
         16.00      298.79      0.2611      0.2250      252.15      0.7500
         17.00      298.47      0.2624      0.2264      251.81      0.7500
         18.00      298.13      0.2637      0.2279      251.46      0.7500
         19.00      297.77      0.2651      0.2295      251.08      0.7500
         20.00      297.40      0.2666      0.2312      250.68      0.7500
         21.00      297.00      0.2681      0.2330      250.25      0.7500
         22.00      296.59      0.2697      0.2348      249.80      0.7500
         23.00      296.16      0.2714      0.2368      249.32      0.7500
         24.00      295.71      0.2732      0.2388      248.82      0.7500
         25.00      295.24      0.2751      0.2410      248.29      0.7500
         26.00      294.76      0.2770      0.2432      247.74      0.7500
         27.00      294.26      0.2790      0.2455      247.16      0.7500
         28.00      293.75      0.2811      0.2479      246.55      0.7500
         29.00      293.22      0.2833      0.2504      245.92      0.7500
         30.00      292.67      0.2856      0.2530      245.26      0.7500
         31.00      292.12      0.2879      0.2556      244.58      0.7500
         32.00      291.54      0.2903      0.2584      243.86      0.7500
         33.00      290.95      0.2928      0.2612      243.12      0.7500
