# Name of benchmark/experiment: FILLET Benchmark 2
# Case number: 0
# Instellation (S_earth): 1.0
# XCO2 (ppm): 280.0
# Obliquity (degrees): 23.5
# Mode: seasonal
#
# Columns of data (annually averaged for last orbit)
# Lat Tsurf Asurf ATOA OLR Fland
 -90.00   270.60 0.2250 0.2250   204.91 0.2500
 -77.83   273.95 0.2250 0.2250   211.61 0.2500
 -72.76   276.18 0.2250 0.2250   216.05 0.2500
 -68.84   278.15 0.2250 0.2250   220.01 0.2500
 -65.52   280.02 0.2250 0.2250   223.74 0.2500
 -62.58   281.80 0.2250 0.2250   227.30 0.2500
 -59.90   283.51 0.2250 0.2250   230.71 0.2500
 -57.43   285.14 0.2250 0.2250   233.99 0.2500
 -55.11   286.72 0.2250 0.2250   237.13 0.2500
 -52.92   288.22 0.2250 0.2250   240.15 0.2500
 -50.83   289.67 0.2250 0.2250   243.04 0.2500
 -48.83   291.06 0.2250 0.2250   245.82 0.2500
 -46.91   292.39 0.2250 0.2250   248.49 0.2500
 -45.06   293.67 0.2250 0.2250   251.05 0.2500
 -43.27   294.90 0.2250 0.2250   253.50 0.2500
 -41.52   296.07 0.2250 0.2250   255.85 0.2500
 -39.83   297.20 0.2250 0.2250   258.10 0.2500
 -38.17   298.28 0.2250 0.2250   260.25 0.2500
 -36.55   299.31 0.2250 0.2250   262.31 0.2500
 -34.96   300.29 0.2250 0.2250   264.28 0.2500
 -33.41   301.23 0.2250 0.2250   266.16 0.2500
 -31.88   302.12 0.2250 0.2250   267.95 0.2500
 -30.37   302.98 0.2250 0.2250   269.65 0.2500
 -28.89   303.79 0.2250 0.2250   271.27 0.2500
 -27.43   304.55 0.2250 0.2250   272.81 0.2500
 -25.99   305.28 0.2250 0.2250   274.26 0.2500
 -24.57   305.97 0.2250 0.2250   275.64 0.2500
 -23.16   306.62 0.2250 0.2250   276.94 0.2500
 -21.76   307.23 0.2250 0.2250   278.16 0.2500
 -20.38   307.80 0.2250 0.2250   279.30 0.2500
 -19.02   308.33 0.2250 0.2250   280.37 0.2500
 -17.66   308.83 0.2250 0.2250   281.36 0.2500
 -16.31   309.29 0.2250 0.2250   282.28 0.2500
 -14.98   309.71 0.2250 0.2250   283.12 0.2500
 -13.65   310.10 0.2250 0.2250   283.89 0.2500
 -12.33   310.45 0.2250 0.2250   284.59 0.2500
 -11.01   310.76 0.2250 0.2250   285.22 0.2500
  -9.70   311.04 0.2250 0.2250   285.78 0.2500
  -8.40   311.28 0.2250 0.2250   286.27 0.2500
  -7.10   311.49 0.2250 0.2250   286.68 0.2500
  -5.80   311.67 0.2250 0.2250   287.03 0.2500
  -4.51   311.80 0.2250 0.2250   287.31 0.2500
  -3.22   311.91 0.2250 0.2250   287.52 0.2500
  -1.93   311.98 0.2250 0.2250   287.65 0.2500
  -0.64   312.01 0.2250 0.2250   287.72 0.2500
   0.64   312.01 0.2250 0.2250   287.72 0.2500
   1.93   311.98 0.2250 0.2250   287.65 0.2500
   3.22   311.91 0.2250 0.2250   287.52 0.2500
   4.51   311.80 0.2250 0.2250   287.31 0.2500
   5.80   311.67 0.2250 0.2250   287.03 0.2500
   7.10   311.49 0.2250 0.2250   286.68 0.2500
   8.40   311.28 0.2250 0.2250   286.27 0.2500
   9.70   311.04 0.2250 0.2250   285.78 0.2500
  11.01   310.76 0.2250 0.2250   285.22 0.2500
  12.33   310.45 0.2250 0.2250   284.59 0.2500
  13.65   310.10 0.2250 0.2250   283.89 0.2500
  14.98   309.71 0.2250 0.2250   283.12 0.2500
  16.31   309.29 0.2250 0.2250   282.28 0.2500
  17.66   308.83 0.2250 0.2250   281.36 0.2500
  19.02   308.33 0.2250 0.2250   280.37 0.2500
  20.38   307.80 0.2250 0.2250   279.30 0.2500
  21.76   307.23 0.2250 0.2250   278.16 0.2500
  23.16   306.62 0.2250 0.2250   276.94 0.2500
  24.57   305.97 0.2250 0.2250   275.64 0.2500
  25.99   305.28 0.2250 0.2250   274.26 0.2500
  27.43   304.55 0.2250 0.2250   272.81 0.2500
  28.89   303.79 0.2250 0.2250   271.27 0.2500
  30.37   302.98 0.2250 0.2250   269.65 0.2500
  31.88   302.12 0.2250 0.2250   267.95 0.2500
  33.41   301.23 0.2250 0.2250   266.16 0.2500
  34.96   300.29 0.2250 0.2250   264.28 0.2500
  36.55   299.31 0.2250 0.2250   262.31 0.2500
  38.17   298.28 0.2250 0.2250   260.25 0.2500
  39.83   297.20 0.2250 0.2250   258.10 0.2500
  41.52   296.07 0.2250 0.2250   255.85 0.2500
  43.27   294.90 0.2250 0.2250   253.50 0.2500
  45.06   293.67 0.2250 0.2250   251.05 0.2500
  46.91   292.39 0.2250 0.2250   248.49 0.2500
  48.83   291.06 0.2250 0.2250   245.82 0.2500
  50.83   289.67 0.2250 0.2250   243.04 0.2500
  52.92   288.22 0.2250 0.2250   240.15 0.2500
  55.11   286.72 0.2250 0.2250   237.13 0.2500
  57.43   285.14 0.2250 0.2250   233.99 0.2500
  59.90   283.51 0.2250 0.2250   230.71 0.2500
  62.58   281.80 0.2250 0.2250   227.30 0.2500
  65.52   280.02 0.2250 0.2250   223.74 0.2500
  68.84   278.15 0.2250 0.2250   220.01 0.2500
  72.76   276.18 0.2250 0.2250   216.05 0.2500
  77.83   273.95 0.2250 0.2250   211.61 0.2500
  90.00   270.60 0.2250 0.2250   204.91 0.2500
