# Name of benchmark/experiment: FILLET Experiment 4 (CO₂ bifurcation)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses -10.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob Branch
36 1.0 23.5 21.209508879201906 289.979722677959 90.0 72.75700252390558 90.0 72.75700252390558 -72.75700252390558 -90.0 -72.75700252390558 -90.0 0.5 257.4642643024922 cooling
37 1.0 23.5 16.768329368110084 288.51933202123956 90.0 68.84130700058387 90.0 68.84130700058387 -68.84130700058387 -90.0 -68.84130700058387 -90.0 0.5 255.8005064836981 cooling
38 1.0 23.5 13.257113655901088 287.2142651916606 90.0 68.84130700058387 90.0 68.84130700058387 -65.52088340444688 -90.0 -65.52088340444688 -90.0 0.5 254.44739631918503 cooling
39 1.0 23.5 10.481131341546858 285.6708643990539 90.0 65.52088340444688 90.0 65.52088340444688 -62.578228140751904 -90.0 -62.578228140751904 -90.0 0.5 252.6176182286163 cooling
40 1.0 23.5 8.286427728546844 284.33815065729124 90.0 62.578228140751904 90.0 62.578228140751904 -62.578228140751904 -90.0 -62.578228140751904 -90.0 0.5 251.20921423973564 cooling
41 1.0 23.5 6.551285568595509 282.700199532025 90.0 59.901955813274874 90.0 59.901955813274874 -59.901955813274874 -90.0 -59.901955813274874 -90.0 0.5 249.1903354838479 cooling
42 1.0 23.5 5.179474679231212 281.01448359923694 90.0 57.425982177408926 90.0 57.425982177408926 -57.425982177408926 -90.0 -57.425982177408926 -90.0 0.5 247.07592711291642 cooling
43 1.0 23.5 4.094915062380426 279.28361062944975 90.0 55.1072953255733 90.0 55.1072953255733 -55.1072953255733 -90.0 -55.1072953255733 -90.0 0.5 244.87120466798686 cooling
44 1.0 23.5 3.237457542817644 277.51028770218085 90.0 50.83050677816714 90.0 50.83050677816714 -50.83050677816714 -90.0 -50.83050677816714 -90.0 0.5 242.58158230809366 cooling
45 1.0 23.5 2.5595479226995357 275.6969322449313 90.0 48.83429056727908 90.0 48.83429056727908 -48.83429056727908 -90.0 -48.83429056727908 -90.0 0.5 240.21189488823927 cooling
46 1.0 23.5 2.023589647725157 272.58766477201874 90.0 45.06148396663785 90.0 45.06148396663785 -45.06148396663785 -90.0 -45.06148396663785 -90.0 0.5 235.25038343705884 cooling
47 1.0 23.5 1.599858719606058 269.3434600681884 90.0 41.52305382984632 90.0 41.52305382984632 -41.52305382984632 -90.0 -41.52305382984632 -90.0 0.5 230.01899752404296 cooling
48 1.0 23.5 1.2648552168552962 221.3603865170474 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.3098739164056 cooling
49 1.0 23.5 1.0 220.73187572246798 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.3098758218915 cooling
50 1.0 23.5 1.0 220.7319231558782 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.3099706887119 warming
51 1.0 23.5 1.2648552168552962 221.3595757915333 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825246537745 warming
52 1.0 23.5 1.599858719606058 221.9880869840937 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135585357 warming
53 1.0 23.5 2.023589647725157 222.61659873105762 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513663 warming
54 1.0 23.5 2.5595479226995357 223.24511047837998 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513666 warming
55 1.0 23.5 3.237457542817644 223.8736222257021 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.3082513551362 warming
56 1.0 23.5 4.094915062380426 224.50213397302468 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513666 warming
57 1.0 23.5 5.179474679231212 225.13064572034682 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.3082513551362 warming
58 1.0 23.5 6.551285568595509 225.7591574676694 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.3082513551367 warming
59 1.0 23.5 8.286427728546844 226.38766921499155 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513624 warming
60 1.0 23.5 10.481131341546858 227.01618096231414 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.3082513551367 warming
61 1.0 23.5 13.257113655901088 227.64469270963625 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513626 warming
62 1.0 23.5 16.768329368110084 228.27320445695887 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513672 warming
63 1.0 23.5 21.209508879201906 228.90171620428097 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513626 warming
64 1.0 23.5 26.826957952797258 229.53022795160356 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513675 warming
65 1.0 23.5 33.93221771895328 230.15873969892573 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513632 warming
66 1.0 23.5 42.91934260128778 230.78725144624826 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513675 warming
67 1.0 23.5 54.286754393238596 231.41576319357046 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513638 warming
68 1.0 23.5 68.66488450043002 232.04427494089293 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.3082513551367 warming
69 1.0 23.5 86.85113737513525 232.67278668821518 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.3082513551364 warming
70 1.0 23.5 109.85411419875584 233.30129843553752 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.3082513551364 warming
71 1.0 23.5 138.94954943731375 233.92981018285985 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.3082513551364 warming
72 1.0 23.5 175.7510624854791 234.5583219301821 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.3082513551361 warming
73 1.0 23.5 222.29964825261956 235.18683367750455 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513632 warming
74 1.0 23.5 281.1768697974231 235.81534542482683 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 135.30825135513615 warming
