T(K) pCO2(bar) A_K(W/m^2) A_C(W/m^2) B(W/m^2/K) albedo OLR(W/m^2)
190.0 4.999999999999999e-05 -335.0343559338127 214.7385810311836 2.0127143948929027 0.2897134259811454 47.38137909583879
190.0 5.2386052612827035e-05 -334.6062022968166 214.51980637046427 2.0103459954870253 0.28971342197175964 47.359536845718175
190.0 5.4885970167077656e-05 -334.1980149448125 214.3101302345027 2.0080840021208686 0.2897134177710495 47.337945458152525
190.0 5.750518641757172e-05 -333.8091918685725 214.10924630952334 2.005925089431067 0.28971341336988604 47.31657512333019
190.0 6.024939442362679e-05 -333.43913547620537 213.91685088289512 2.003865957748858 0.28971340875870427 47.29539649607763
190.0 6.312455892334162e-05 -333.0872525931584 213.73264284313188 2.001903333100093 0.2897134039274826 47.274380695859215
190.0 6.61369292983935e-05 -332.7529544622129 213.55632367989224 2.000033967205218 0.2897133988657215 47.25349930677843
190.0 6.92930531575293e-05 -332.4356567434879 213.38759748397965 1.9982546374792884 0.2897133935624208 47.23272437757685
190.0 7.259979056827507e-05 -332.13477951443883 213.2261709473426 1.9965621470319657 0.28971338800605484 47.21202842163469
190.0 7.606432896779765e-05 -331.84974726985735 213.07175336307412 1.9949533246675142 0.28971338218454884 47.191384416970344
190.0 7.969419878532864e-05 -331.57998892187186 212.9240566254122 1.9934250248848036 0.28971337608525144 47.170765806240816
190.0 8.349728981010646e-05 -331.3249377999467 212.7827952297394 1.9919741278773062 0.28971336969490785 47.15014649674144
190.0 8.74818683404141e-05 -331.0840316508843 212.64768627258402 1.9905975395331077 0.28971336299963074 47.12950086040615
190.0 9.165659515098683e-05 -330.856712638821 212.5184494516176 1.9892921914348842 0.28971335598487014 47.10880373380704
190.0 9.603054431784369e-05 -330.6424273452321 212.39480706565772 1.9880550408599298 0.2897133486353825 47.088030418154595
190.0 0.00010061322294145963 -330.4406267689281 212.27648401466672 1.9868830707801386 0.28971334093519674 47.067156679298236
190.0 0.00010541459181114802 -330.2507663260559 212.16320779975112 1.9857732898620064 0.2897133328675795 47.046158747725336
190.0 0.00011044508705556975 -330.07230585009984 212.0547085231628 1.9847227324666399 0.2897133244149996 47.02501331856172
190.0 0.00011571564282642681 -329.9047095918796 211.9507188882982 1.983728458649745 0.28971331555908963 47.003697551571946
190.0 0.00012123771506464596 -329.7474462195525 211.85097419969884 1.9827875541616378 0.28971330628060543 46.982189071158714
190.0 0.00012702330640070953 -329.5999888186114 211.7552123630508 1.9818971304472348 0.28971329655938516 46.96046596636325
190.0 0.0001330849922432564 -329.461814891886 211.66317388518507 1.9810543246460592 0.2897132863743054 46.938506790865276
190.0 0.0001394359481126582 -329.33240635954263 211.57460187407773 1.9802562995922404 0.28971327570323463 46.916290562983
190.0 0.00014608997827898266 -329.21124955908397 211.48924203884891 1.9795002438145084 0.28971326452298635 46.89379676567259
190.0 0.00015306154576659093 -329.0978352453494 211.40684268976452 1.9787833715362035 0.28971325280926724 46.87100534652925
190.0 0.00016036580379058537 -328.9916585905147 211.32715473823495 1.9781029226752689 0.2897132405366259 46.8478967177864
190.0 0.00016801862869343808 -328.8922191840918 211.2499316968149 1.9774561628442497 0.2897132276783964 46.824451756315604
190.0 0.00017603665445338997 -328.7990210329294 211.17492967920427 1.9768403833502972 0.2897132142066415 46.80065180362708
190.0 0.00018443730883962683 -328.7115725612129 211.10190740024828 1.976252901195172 0.28971320009209084 46.77647866586977
190.0 0.00019323885129281845 -328.6293866104637 211.03062617593636 1.9756910590752337 0.28971318530407886 46.751914613830735
190.0 0.00020246041261335698 -328.5519804395404 210.96084992340263 1.97515222538145 0.2897131698104767 46.72694238293509
190.0 0.00021212203654355982 -328.4788757246371 210.8923451609266 1.9746337941993912 0.2897131535776233 46.70154517324727
190.0 0.00022224472333421893 -328.4095985592857 210.82488100793242 1.9741331853092372 0.2897131365702532 46.67570664946938
190.0 0.00023285047539019167 -328.34367945435326 210.75822918498852 1.9736478441857654 0.2897131187514182 46.64941094094217
190.0 0.0002439623450942474 -328.2806533380444 210.6921640138089 1.9731752419983648 0.2897131000824083 46.62264264164493
190.0 0.0002556044849131182 -328.2200595558994 210.62646241725233 1.9727128756110262 0.28971308052266825 46.59538681019555
190.0 0.0002678021998946637 -328.16144187079516 210.5609039193219 1.9722582675823435 0.28971306002970804 46.567628969850105
190.0 0.0002805820026702532 -328.10434846294595 210.49527064516533 1.9718089661655183 0.28971303855901226 46.53935510850255
190.0 0.0002939716710819256 -328.04833192990185 210.42934732107642 1.9713625453083592 0.28971301606394273 46.51055167868639
190.0 0.0003080003085595685 -327.99294928654945 210.36292127449235 1.970916604653274 0.2897129924956383 46.48120559757265
190.0 0.0003226984073793708 -327.9377619651113 210.295782433996 1.9704687695372773 0.2897129678029073 46.451304246971425
190.0 0.0003380979149410239 -327.88233581514737 210.22772332931478 1.9700166909919907 0.2897129419321182 46.42083547333082
190.0 0.00035423230320775237 -327.8262411035545 210.1585390913213 1.969558045743642 0.28971291482708283 46.3897875877375
190.0 0.0003711366414600844 -327.76905251456395 210.08802745203212 1.9690905362130555 0.2897128864289342 46.358149365916596
190.0 0.00038884767252151824 -327.7103491497458 210.0159887446094 1.96861189051567 0.28971285667599966 46.32591004823148
190.0 0.0004074038926217519 -327.6497145280056 209.94222590335983 1.9681198624615246 0.28971282550366645 46.293059339684106
