 #Name of benchmark/experiment: Experiment 2 (cold start)
 # Describe how ice line latitude is determined: The surface ice coverage corresponds to latitude bands in which the annually-averaged surface temperature is < 263.15 K.
 # Columns of data
 # Case = case number (0 -> total number of cases in experiment)
 # SEFF = effective stellar flux divided by value at Earth (1361 W/m^2)
 # Obl = obliquity (degrees)
 # XCO2 = CO2 mixing ratio (volume in ppm)
 # Tglob = global, annual mean surface temperature (K)
 #IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineNMin = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMin = latitude of northern edge of ice in northern hemisphere (deg)
 # Diff = thermal diffusion coefficient (W/m^2/K)
 # OLRglob = global, annual mean outgoing longwave radiation (W/m^2)

 # Case SEFF Obl XCO2 Tglob IceLineNMax IceLineNmin IceLineSMax IceLineSMin Diff OLRGlob
58 1.10000E+00  20.0 280.  289.534  90.0  84.4 -84.4 -90.0  0.50  242.419
59 1.12500E+00  20.0 280.  292.770  90.0  90.0 -90.0 -90.0  0.50  246.579
60 1.15100E+00  20.0 280.  300.109  90.0  90.0 -90.0 -90.0  0.50  254.128
61 1.17500E+00  20.0 280.  372.182  90.0  90.0 -90.0 -90.0  0.50  284.571
62 1.20000E+00  20.0 280.  374.892  90.0  90.0 -90.0 -90.0  0.50  285.010
63 1.22500E+00  20.0 280.  377.059  90.0  90.0 -90.0 -90.0  0.50  285.312
64 1.25000E+00  20.0 280.  378.814  90.0  90.0 -90.0 -90.0  0.50  285.549
65 1.27500E+00  20.0 280.  380.323  90.0  90.0 -90.0 -90.0  0.50  285.742
66 1.30000E+00  20.0 280.  381.623  90.0  90.0 -90.0 -90.0  0.50  285.905
67 1.32500E+00  20.0 280.  382.660  90.0  90.0 -90.0 -90.0  0.50  286.045
68 1.35000E+00  20.0 280.  383.525  90.0  90.0 -90.0 -90.0  0.50  286.141
69 1.37500E+00  20.0 280.  384.273  90.0  90.0 -90.0 -90.0  0.50  286.244
70 1.40200E+00  20.0 280.  384.923  90.0  90.0 -90.0 -90.0  0.50  286.315
71 1.42500E+00  20.0 280.  385.435  90.0  90.0 -90.0 -90.0  0.50  286.377
72 1.45000E+00  20.0 280.  385.905  90.0  90.0 -90.0 -90.0  0.50  286.436
73 1.47500E+00  20.0 280.  386.316  90.0  90.0 -90.0 -90.0  0.50  286.486
74 1.50000E+00  20.0 280.  386.679  90.0  90.0 -90.0 -90.0  0.50  286.520

75 9.00000E-01  30.0 280.  266.631  90.0  41.0 -41.0 -90.0  0.50  201.927
76 9.25000E-01  30.0 280.  270.681  90.0  48.8 -48.8 -90.0  0.50  210.118
77 9.50000E-01  30.0 280.  274.304  90.0  56.5 -56.5 -90.0  0.50  217.203
78 9.75000E-01  30.0 280.  277.396  90.0  64.8 -64.8 -90.0  0.50  223.142
79 1.00000E+00  30.0 280.  280.172  90.0  75.8 -75.8 -90.0  0.50  228.381
80 1.02500E+00  30.0 280.  282.580  90.0  90.0 -90.0 -90.0  0.50  232.755
81 1.05000E+00  30.0 280.  284.854  90.0  90.0 -90.0 -90.0  0.50  236.448
82 1.07500E+00  30.0 280.  287.027  90.0  90.0 -90.0 -90.0  0.50  239.809
83 1.10000E+00  30.0 280.  289.181  90.0  90.0 -90.0 -90.0  0.50  242.975
84 1.12500E+00  30.0 280.  291.347  90.0  90.0 -90.0 -90.0  0.50  246.034
85 1.15100E+00  30.0 280.  293.984  90.0  90.0 -90.0 -90.0  0.50  249.402
86 1.17500E+00  30.0 280.  299.881  90.0  90.0 -90.0 -90.0  0.50  255.464
87 1.20000E+00  30.0 280.  381.239  90.0  90.0 -90.0 -90.0  0.50  285.884
88 1.22500E+00  30.0 280.  382.741  90.0  90.0 -90.0 -90.0  0.50  286.072
89 1.25000E+00  30.0 280.  384.000  90.0  90.0 -90.0 -90.0  0.50  286.239
90 1.27500E+00  30.0 280.  385.026  90.0  90.0 -90.0 -90.0  0.50  286.362
91 1.30000E+00  30.0 280.  385.808  90.0  90.0 -90.0 -90.0  0.50  286.440
92 1.32500E+00  30.0 280.  386.434  90.0  90.0 -90.0 -90.0  0.50  286.505
93 1.35000E+00  30.0 280.  386.931  90.0  90.0 -90.0 -90.0  0.50  286.563
94 1.37500E+00  30.0 280.  387.345  90.0  90.0 -90.0 -90.0  0.50  286.612
95 1.40200E+00  30.0 280.  387.708  90.0  90.0 -90.0 -90.0  0.50  286.636
96 1.42500E+00  30.0 280.  387.960  90.0  90.0 -90.0 -90.0  0.50  286.672
97 1.45000E+00  30.0 280.  388.182  90.0  90.0 -90.0 -90.0  0.50  286.690
98 1.47500E+00  30.0 280.  388.373  90.0  90.0 -90.0 -90.0  0.50  286.706
99 1.50000E+00  30.0 280.  388.523  90.0  90.0 -90.0 -90.0  0.50  286.726

100 9.00000E-01  40.0 280.  268.552 90.0   47.7 -47.7 -90.0  0.50  205.756
