# Use this header for notes and global details
#  Name of benchmark/experiment: Benchmark 2/untuned                                                                                 
#                   Case number:          0
#        Instellation (S_earth):       1.0000
#                    XCO2 (ppm):     280.0000
#           Obliquity (degrees):      23.5000
# Additional Information
#          Orbital eccentricity:       0.0000
# Longitude of perihelion passag       0.0000
# Cloud modification by cloud (W       0.0000
#                   Land albedo:       0.3000
#                  Ocean albedo:       0.2000
#               Ice/snow albedo:       0.6000
#                Cloud coverage:       0.0000
# Cloud albedo varies with cosZA

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)
# Foc = Ocean fraction

#          Lat       Tsurf       Asurf        ATOA         OLR         Foc
          5.00      411.23      0.1520      0.2250      302.45      0.7500
          6.00      411.07      0.1520      0.2250      301.99      0.7500
          7.00      410.88      0.1521      0.2250      301.43      0.7500
          8.00      410.66      0.1521      0.2250      300.79      0.7500
          9.00      410.41      0.1522      0.2250      300.06      0.7500
         10.00      410.13      0.1523      0.2250      299.25      0.7500
         11.00      409.83      0.1524      0.2250      298.35      0.7500
         12.00      409.49      0.1525      0.2250      297.36      0.7500
         13.00      409.12      0.1527      0.2250      296.29      0.7500
         14.00      408.72      0.1528      0.2250      295.13      0.7500
         15.00      408.28      0.1529      0.2250      293.88      0.7500
         16.00      407.82      0.1532      0.2250      292.56      0.7500
         17.00      407.33      0.1538      0.2250      291.14      0.7500
         18.00      406.80      0.1546      0.2250      289.65      0.7500
         19.00      406.25      0.1555      0.2250      288.07      0.7500
         20.00      405.66      0.1565      0.2250      286.41      0.7500
         21.00      405.05      0.1577      0.2250      284.67      0.7500
         22.00      404.40      0.1589      0.2250      282.85      0.7500
         23.00      403.71      0.1603      0.2250      280.95      0.7500
         24.00      403.00      0.1618      0.2250      278.97      0.7500
         25.00      402.26      0.1634      0.2250      276.91      0.7500
         26.00      401.48      0.1651      0.2250      274.78      0.7500
         27.00      400.67      0.1670      0.2250      272.57      0.7500
         28.00      399.83      0.1689      0.2250      270.75      0.7500
         29.00      398.96      0.1709      0.2250      270.75      0.7500
         30.00      398.06      0.1731      0.2250      270.75      0.7500
         31.00      397.12      0.1753      0.2250      270.75      0.7500
         32.00      396.16      0.1777      0.2250      270.75      0.7500
         33.00      395.18      0.1801      0.2250      270.75      0.7500
         34.00      394.16      0.1827      0.2250      270.75      0.7500
         35.00      393.13      0.1854      0.2250      270.75      0.7500
